Id,Label,timeset,value,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks,Authority,Hub
Paenarthrobacter_aurescens,Paenarthrobacter,,0,408,600.22,4,0.646237,0.738896,0.001227,2,0,0.707484,58741,0.719148,0.001536,0.041931,0.041931
Thioalkalivibrio_versutus,Thioalkalivibrio,,0,373,536.22,4,0.627259,0.716987,0.001118,2,0,0.661679,45906,0.62439,0.001422,0.036341,0.036341
Rothia_mucilaginosa,Rothia,,5.38,10,14.14,5,0.385648,0.406703,0.000022,1,0,0.533333,24,0.003349,0.00026,0.00018,0.00018
Atopobium_parvulum,Atopobium,,0.08,15,20.92,4,0.407734,0.431373,0.00015,1,0,0.428571,45,0.003852,0.000349,0.000197,0.000197
Tannerella_forsythia,Tannerella,,0.01,43,58.6,4,0.474644,0.5,0.00031,1,0,0.55371,500,0.032889,0.000431,0.001861,0.001861
Faecalibacterium_prausnitzii,Faecalibacterium,,0,39,55.379999,4,0.451735,0.481192,0.000428,1,0,0.668016,495,0.01715,0.000478,0.000927,0.000927
Clostridium_novyi,Clostridium,,0.01,61,87,4,0.48206,0.512705,0.001552,1,0,0.678689,1242,0.037227,0.000597,0.00207,0.00207
Bacillus_halodurans,Bacillus,,0,60,88.98,4,0.47009,0.503701,0.000138,1,0,0.748023,1324,0.037812,0.000536,0.002106,0.002106
Bacillus_cellulosilyticus,Bacillus,,0,67,96.56,5,0.474374,0.509544,0.000146,1,0,0.746269,1650,0.044627,0.000556,0.002495,0.002495
Catenulispora_acidiphila,Catenulispora,,0,25,34.38,5,0.413605,0.441917,0.000058,1,0,0.686667,206,0.008752,0.000363,0.000461,0.000461
Chlorobaculum_parvum,Chlorobaculum,,0,93,126.58,4,0.511985,0.545118,0.000863,2,0,0.632071,2704,0.139552,0.000586,0.008116,0.008116
Desulfovibrio_alaskensis,Desulfovibrio,,0,132,181.139999,4,0.527215,0.570128,0.001006,2,0,0.74867,6473,0.225669,0.000703,0.01316,0.01316
Bifidobacterium_pseudocatenulatum,Bifidobacterium,,0,53,72.52,4,0.479839,0.507603,0.000233,2,0,0.568215,783,0.065406,0.000444,0.003788,0.003788
Lactobacillus_brevis,Lactobacillus,,0.01,22,29.9,4,0.431606,0.456383,0.000487,1,0,0.419913,97,0.007061,0.000439,0.000372,0.000372
Mycoplasma_hyopneumoniae,Mycoplasma,,0,30,40.78,4,0.470621,0.491797,0.000081,2,0,0.652874,284,0.03857,0.000328,0.002238,0.002238
Kangiella_geojedonensis,Kangiella,,0,128,180.460001,5,0.51388,0.561064,0.000088,2,0,0.85753,6970,0.228038,0.000608,0.013307,0.013307
Sporosarcina_psychrophila,Sporosarcina,,0,95,128.84,4,0.511985,0.546218,0.000426,2,0,0.743785,3321,0.152467,0.000537,0.008883,0.008883
Entomoplasma_freundtii,Entomoplasma,,0,123,173.1,5,0.511985,0.557863,0.000068,2,0,0.870718,6533,0.219346,0.000589,0.0128,0.0128
Streptococcus_equinus,Streptococcus,,8.34,36,48.96,4,0.462264,0.487595,0.000092,2,0,0.711111,448,0.039143,0.000346,0.00225,0.00225
Streptococcus_salivarius,Streptococcus,,8.34,5,7.38,4,0.382461,0.402761,0.000015,2,0,0.4,4,0.002009,0.000226,0.00011,0.00011
Streptococcus_thermophilus,Streptococcus,,8.34,46,63.34,4,0.479011,0.504202,0.000173,2,0,0.6657,689,0.057863,0.000384,0.003346,0.003346
Actinomyces_gaoshouyii,Actinomyces,,0.06,290,432.080001,3,0.585383,0.664666,0.000821,2,0,0.721298,30226,0.475897,0.001163,0.027668,0.027668
Dermabacter_jinjuensis,Dermabacter,,0,162,238.4,4,0.524559,0.580732,0.000163,2,0,0.791274,10319,0.234441,0.000738,0.013587,0.013587
Streptococcus_macedonicus,Streptococcus,,8.34,190,263.24,4,0.54623,0.604442,0.000203,3,0,0.820718,14736,0.34853,0.0008,0.020354,0.020354
Corynebacterium_vitaeruminis,Corynebacterium,,0,303,447.379999,4,0.59204,0.673169,0.000591,2,0,0.706839,32340,0.49557,0.001191,0.02881,0.02881
Propionibacterium_freudenreichii,Propionibacterium,,0,260,390.939999,4,0.570157,0.645258,0.00031,2,0,0.754381,25400,0.420079,0.001048,0.024416,0.024416
Dermacoccus_nishinomiyaensis,Dermacoccus,,0,357,522.779999,3,0.621178,0.707883,0.000967,2,0,0.685566,43565,0.595437,0.001375,0.034643,0.034643
Acidipropionibacterium_acidipropionici,Acidipropionibacterium,,0,240,360.3,4,0.559812,0.631853,0.000251,2,0,0.772629,22159,0.382154,0.000983,0.022203,0.022203
Lactobacillus_helveticus,Lactobacillus,,0.01,57,77.54,4,0.479287,0.508804,0.000045,2,0,0.702381,1121,0.069667,0.00039,0.004021,0.004021
Cellulomonas_flavigena,Cellulomonas,,0,259,378.5,4,0.570157,0.644758,0.000426,2,0,0.717009,23956,0.408446,0.00105,0.023726,0.023726
