Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,Authority,Hub,componentnumber,pageranks,clustering,triangles,eigencentrality,value
Flavobacterium_sediminis,Flavobacterium,,9,17.94,2,0.764706,0.846154,0,12,0,0,13,0.001356,1,36,0.001242,0.6
Lactobacillus_futsaii,Lactobacillus,,9,17.94,2,0.764706,0.846154,0,12,0,0,13,0.001356,1,36,0.001242,2.19
Eubacterium_callanderi,Eubacterium,,9,17.94,2,0.764706,0.846154,0,12,0,0,13,0.001356,1,36,0.001242,1679.040039
Cnuibacter_physcomitrellae,Cnuibacter,,9,17.94,2,0.764706,0.846154,0,12,0,0,13,0.001356,1,36,0.001242,0.03
Paenibacillus_beijingensis,Paenibacillus,,9,17.94,2,0.764706,0.846154,0,12,0,0,13,0.001356,1,36,0.001242,0.44
Treponema_socranskii,Treponema,,6,11.94,2,0.875,0.928571,0,13,0,0,14,0.001365,1,15,0.000723,214.729996
Corynebacterium_kroppenstedtii,Corynebacterium,,6,11.94,2,0.875,0.928571,0,13,0,0,14,0.001365,1,15,0.000723,13.72
Thermus_scotoductus,Thermus,,6,11.94,2,0.875,0.928571,0,13,0,0,14,0.001365,1,15,0.000723,0.18
Aeribacillus_pallidus,Aeribacillus,,6,11.94,2,0.875,0.928571,0,13,0,0,14,0.001365,1,15,0.000723,0.21
Acinetobacter_lwoffii,Acinetobacter,,6,11.94,2,0.875,0.928571,0,13,0,0,14,0.001365,1,15,0.000723,0.23
Heliobacterium_modesticaldum,Heliobacterium,,6,11.94,2,0.875,0.928571,0,13,0,0,14,0.001365,1,15,0.000723,0.05
Symbiobacterium_thermophilum,Symbiobacterium,,7,13.58,1,1,1,0.00002,13,0,0,14,0.001692,0.714286,15,0.000816,0.12
Streptococcus_salivarius,Streptococcus,,7,13.82,2,0.612903,0.684211,0,6,0,0,5,0.000856,1,21,0.001088,548
Peptoniphilus_harei,Peptoniphilus,,7,13.82,2,0.612903,0.684211,0,6,0,0,5,0.000856,1,21,0.001088,1.03
Alistipes_finegoldii,Alistipes,,7,13.82,2,0.612903,0.684211,0,6,0,0,5,0.000856,1,21,0.001088,1.38
Bacillus_thermoamylovorans,Bacillus,,7,13.82,2,0.612903,0.684211,0,6,0,0,5,0.000856,1,21,0.001088,0.52
Chryseobacterium_jeonii,Chryseobacterium,,7,13.82,2,0.612903,0.684211,0,6,0,0,5,0.000856,1,21,0.001088,0.38
Leptotrichia_wadei,Leptotrichia,,2,3.94,1,1,1,0,14,0,0,15,0.001285,1,1,0.000202,11.03
Streptococcus_gordonii,Streptococcus,,2,3.88,1,1,1,0,14,0,0,15,0.001285,1,1,0.000202,548
Leptotrichia_trevisanii,Leptotrichia,,2,3.94,1,1,1,0,14,0,0,15,0.001285,1,1,0.000202,11.03
Lactobacillus_plantarum,Lactobacillus,,4,8,1,1,1,0,15,0,0,16,0.001285,1,6,0.00044,2.19
Deep_sea,Deep,,4,8,1,1,1,0,15,0,0,16,0.001285,1,6,0.00044,0
Mycoplasma_arginini,Mycoplasma,,4,8,1,1,1,0,15,0,0,16,0.001285,1,6,0.00044,10.28
Thermosynechococcus_elongatus,Thermosynechococcus,,4,8,1,1,1,0,15,0,0,16,0.001285,1,6,0.00044,0
Dichelobacter_nodosus,Dichelobacter,,4,8,1,1,1,0,15,0,0,16,0.001285,1,6,0.00044,0
Prevotella_melaninogenica,Prevotella,,10,19.7,2,0.75,0.833333,0,2,0,0,2,0.001154,1,45,0.001558,1637.869995
Gudongella_oleilytica,Gudongella,,10,19.7,2,0.75,0.833333,0,2,0,0,2,0.001154,1,45,0.001558,0.06
