Species;MPIAM10.1_S.BCPHC;MPIAM11.1_N.BCPHC;MPIAM11.1_T.BCPHC;MPIAM1.1_S.BCPHC;MPIAM1.2_S.BCPHC;MPIAM1.3_N.BCPHC;MPIAM1.3_S.BCPHC;MPIAM1.4_S.BCPHC;MPIAM1.5_S.BCPHC;MPIAM2.1_S.BCPHC;MPIAM2.2_N.BCPHC;MPIAM2.2_T.BCPHC;MPIAM3.1_S.BCPHC;MPIAM4.1_S.BCPHC;MPIAM4.2_S.BCPHC;MPIAM4.3_S.BCPHC;MPIAM5.1_S.BCPHC;MPIAM5.2_S.BCPHC;MPIAM5.3_S.BCPHC;MPIAM5.5_S.BCPHC;MPIAM5.6_N.BCPHC;MPIAM5.6_S.BCPHC;MPIAM6.1_S.BCPHC;MPIAM6.2_N.BCPHC;MPIAM6.2_S.BCPHC;MPIAM6.5_N.BCPHC;MPIAM7.1_N.BCPHC;MPIAM7.1_S.BCPHC;MPIAM7.2_N.BCPHC;MPIAM7.2_S.BCPHC;MPIAM7.3_S.BCPHC;MPIAM7.4_S.BCPHC;MPIAM7.5_S.BCPHC;MPIAM7.6_S.BCPHC;MPIAM7.7_S.BCPHC;MPIAM8.1_N.BCPHC;MPIAM8.1_S.BCPHC;MPIAM8.2_N.BCPHC;MPIAM8.2_T.BCPHC;MPIAM9.1_N.BCPHC;MPIAM9.1_S.BCPHC;MPIAM9.1_T.BCPHC;MPIAM9.2_N.BCPHC;MPIAM9.2_T.BCPHC;MPIAW10.1_N.BCPHC;MPIAW10.1_S.BCPHC;MPIAW10.2_N.BCPHC;MPIAW10.2_S.BCPHC;MPIAW11.1_N.BCPHC;MPIAW11.1_T.BCPHC;MPIAW1.2_N.BCPHC;MPIAW1.2_T.BCPHC;MPIAW2.1_S.BCPHC;MPIAW3.1_S.BCPHC;MPIAW4.1_S.BCPHC;MPIAW5.1_N.BCPHC;MPIAW5.1_T.BCPHC;MPIAW5.2_N.BCPHC;MPIAW5.2_T.BCPHC;MPIAW6.1_N.BCPHC;MPIAW6.1_T.BCPHC;MPIAW7.1_N.BCPHC;MPIAW7.1_T.BCPHC;MPIAW8.1_N.BCPHC;MPIAW8.1_S.BCPHC;MPIAW9.1_N.BCPHC;MPIAW9.1_T.BCPHC;MPIAW9.2_N.BCPHC;MPIAW9.2_S.BCPHC;MPIBM1.2_S.BCPHC;MPIBM1.3_S.BCPHC;MPIBM1.4_S.BCPHC;MPIBM1.5_N.BCPHC;MPIBM1.5_S.BCPHC;MPIBM2.1_N.BCPHC;MPIBM2.1_T.BCPHC;MPIBM3.1_N.BCPHC;MPIBM3.1_T.BCPHC;MPIBM4.1_N.BCPHC;MPIBM4.1_S.BCPHC;MPIBM4.1_T.BCPHC;MPIBM5.1_N.BCPHC;MPIBM5.1_S.BCPHC;MPIBM6.1_N.BCPHC;MPIBM6.1_S.BCPHC;MPIBM6.2_N.BCPHC;MPIBM6.2_S.BCPHC;MPIBW1.1_S.BCPHC;MPIBW1.2_S.BCPHC;MPIBW3.1_N.BCPHC;MPIBW3.1_T.BCPHC;MPICM1.1_S.BCPHC;MPICM2.1_S.BCPHC;MPICM4.1_S.BCPHC;MPICM4.2_N.BCPHC;MPICM4.2_T.BCPHC;MPICM5.1_N.BCPHC;MPICM5.1_S.BCPHC;MPICM6.1_S.BCPHC;MPICW1.1_S.BCPHC;MPICW1.2_N.BCPHC;MPICW1.2_S.BCPHC;MPICW2.1_S.BCPHC;MPICW2.2_S.BCPHC;MPICW2.3_S.BCPHC;MPICW3.1_S.BCPHC;MPICW4.1_S.BCPHC;MPICW4.2_N.BCPHC;MPICW4.2_S.BCPHC;MPICW4.3_N.BCPHC;MPICW4.3_S.BCPHC;MPICW5.1_S.BCPHC;MPICW6.1_S.BCPHC;MPICW7.1_N.BCPHC;MPICW7.1_S.BCPHC;MPICW8.1_T.BCPHC;MPSAM1.1_S.BCPHC;MPSAM1.2_S.BCPHC;MPSAM1.3_S.BCPHC;MPSAM1.4_S.BCPHC;MPSAM1.5_S.BCPHC;MPSAM1.6_S.BCPHC;MPSAM1.7_N.BCPHC;MPSAM3.1_N.BCPHC;MPSAM3.1_T.BCPHC;MPSAM4.1_N.BCPHC;MPSAM4.1_T.BCPHC;MPSAM4.2_N.BCPHC;MPSAM4.2_T.BCPHC;MPSAM5.1_S.BCPHC;MPSAM5.2_N.BCPHC;MPSAM5.2_S.BCPHC;MPSAM5.2_T.BCPHC;MPSAM6.1_N.BCPHC;MPSAM6.1_T.BCPHC;MPSAM6.2_T.BCPHC;MPSAM7_T.BCPHC;MPSAW1.1_S.BCPHC;MPSAW1.2_S.BCPHC;MPSAW1.3_S.BCPHC;MPSAW1.4_S.BCPHC;MPSAW1.5_N.BCPHC;MPSAW1.5_T.BCPHC;MPSAW2.1_S.BCPHC;MPSAW2.2_S.BCPHC;MPSAW2.3_S.BCPHC;MPSAW2.4_S.BCPHC;MPSAW2.5_S.BCPHC;MPSAW2.6_S.BCPHC;MPSAW2.7_S.BCPHC;MPSAW2.8_N.BCPHC;MPSAW3.1_N.BCPHC;MPSAW3.1_T.BCPHC;MPSAW4.1_N.BCPHC;MPSAW4.1_T.BCPHC;MPSAW5.1_N.BCPHC;MPSAW5.1_T.BCPHC;MPSAW5.2_N.BCPHC;MPSAW5.2_T.BCPHC;MPSAW6.1_N.BCPHC;MPSAW6.1_S.BCPHC;MPSBM2.1_S.BCPHC;MPSBM3.2_N.BCPHC;MPSBM3.2_T.BCPHC;MPSBM4.1_N.BCPHC;MPSBM4.1_S.BCPHC;MPSBM4.2_S.BCPHC;MPSBW1.1_S.BCPHC;MPSBW1.2_S.BCPHC;MPSBW1.3_S.BCPHC;MPSBW1.4_S.BCPHC;MPSBW1.5_N.BCPHC;MPSBW1.5_T.BCPHC;MPSBW2.1_S.BCPHC;MPSBW2.2_N.BCPHC;MPSBW2.2_S.BCPHC;MPSCM2.1_S.BCPHC;MPSCM3.1_N.BCPHC;MPSCM3.1_S.BCPHC;MPSCM3.1_T.BCPHC;MPSCW1.1_S.BCPHC;MPSCW1.3_S.BCPHC;MPSCW1.4_N.BCPHC;MPSCW1.4_S.BCPHC;MPSCW2.1_S.BCPHC
Croceicoccus marinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Croceicoccus naphthovorans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0164;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1048;0;0;0;0;0;0;0.115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0.06561;0;1.75236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Crocosphaera subtropica;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.05902;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.83917;0;0.22931;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cronobacter condimenti;0;0;0;0;0;0;0;0.0924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0.03473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cronobacter muytjensii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cronobacter phage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cronobacter turicensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02625;0;0;0;0;0;0;0;0;0;0;0.0015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cronobacter universalis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cryobacterium arcticum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0.0557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cryobacterium soli;0;0;0;0;0;0;0;0.0916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0878;0;0;0;0;0;0;0;0;0;0;0;0;0;0.575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0229;0;0;0;0;0;0;0;0;0;0;0;;0;0;0.68873;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00408;0;0;0;0;0;0;0;0;0;0;0;0.07872;0;0;0;0;0;0;0;0;0.01567;0.01485;0.006;0;0;0;0.00493;0;0;0;0;0;0;0;0;0;0.21294;0;0;0;0;0;0;0.17094;;0;0;0;0;0;0;0.04775;0.00264;0;0;0.07159;0;0;0;0;0;0;0;0;0;0;0;0.0027
Cryptobacterium curtum;0;0;0;0;0;0;0;0.2484;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3627;0;0;0;0;0.2394;0;0;0;0;0;0;0;0;0;0;0.0157;0.036;0;0;0;0;0;0;0;0;0;4.1963;0;0;0.3341;0;0;0;0;0;0;0;0;0;0;0;0;0;0.062;0;0;0;0;0;0;0.0119;0;0;0;0;;0;0;0.5601;0.64956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.42461;1028.46224;0;0;0;0.02214;0;0;0.26341;0;0;0;0;0;0;0;0;0.07113;315.7523;0;0;0;0;0.13376;0;0;0.02123;0.04025;0.01626;0.01248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.92676;;0;0;0;0.19664;0;0.25938;100.5754;0.04291;0.15428;0;3.29901;0;0;0;0.05517;0.07689;1.38726;0.67159;0;0;0;0;0.72278
Cupriavidus basilensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cupriavidus campinensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus gilardii;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus malaysiensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1203;0.09299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Cupriavidus metallidurans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0054;0;0;0;0;0.006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus necator;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus oxalaticus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus pauculus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cupriavidus pinatubonensis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0306;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21418;0;0.01642;0;0.05805;0;0.03583;0;0.15653;0;0.05811;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02635;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Curtobacterium flaccumfaciens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10126;0;0;0;0.90833;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Curtobacterium pusillum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02896;0;0;0;0;0;0;0;0;0.11238;0.04917;0.03476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.10668;0;0;0;0;0.09433;;0;0;0.05851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cutibacterium acnes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cutibacterium avidum;0;0;0;0;0;0;0.0175;0;0.0028;0;0.0402;0;0;0;0;0;0.0459;0;0;0;0;0;0;0;0;0;0.0052;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.4047;0.1997;0.0353;0;0.2189;0;0.0127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2286;0;0;0;0.0539;0;0;0;0.1419;0;0;0;0;0;0.2148;0;6.8075;3.9235;0;0;0;0;0;0;0;0;0;0;0.66547;0;0.01006;0;0;0;0;0;0.22136;0;0;0;0;0;0;0;0.06492;0;0;0;0.13606;0;0.26419;0.14274;2.68742;0;0;0;0.10802;0.02918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.0697;0;5.92226;1.09607;0;0;0;0;0;0;0.11913;0.03675;74.3771;17.78758;0;0;2.38268;0.99031;0;0;0;0;0.22071;0;0;0;0;0;0;0;0;0;0;0;
Cutibacterium granulosum;0;0;0;0;0.0035;0.0933;0;0.1847;0.0533;0;0.2917;0;0;0.0061;0;0;0;0;0;0;0.1336;0;0.0107;0;0;0.0564;167.1867;0.0222;28.4681;0;0;0;0.0079;0;0;0;0;0.0885;0.1163;9.8284;0.0959;0.5341;2.2237;0.456;0.6235;946.0145;0;0;0;0;0.0807;0;0;0.0268;0;0;0;0.2432;0;0.9048;0;6.4887;1.8235;0.5202;0.1358;7.185;0;2.5235;5.4347;0;0;0;0;0;1.2758;0;65.8532;0;1.0727;0;0;567.0119;0.209;73.3743;0;1.4103;0.4155;0;0;0.7451;0.1826;0.0102;;0.08721;0;1.38854;0.72465;8.04565;0;0;0.4446;0;0;0;0;0;0;1.09258;0;0;0;0;1.20173;0.40854;2.614;1.01489;0.0494;0.06113;0.42684;0.03265;0.02065;0;27.18937;0;0;0.45495;0.71887;0;0.1058;0.2582;0.01685;0;0;0;0.09948;0;0;0.03158;0;0.02419;0.00464;0;0;0.03978;0;0;0;0;0;0;0.09397;0.09606;0.12507;0;0.28378;0;0;0;0;0.08024;0.34463;;5.45693;0;2109.79318;0;7.85088;0.27008;0;0.09042;0;514.67395;0;0;214.18281;0.59307;0;121.17399;0;0;0;0;1.24283;0;0.00363
Cyanobacterium aponinum;0;0;0;0;0.0019;0;0.0371;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.02076;0.06014;0;0;0;0;0;0.19474;0;0;0;0;0.11412;0;0.01583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0.00281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
