Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF06;KGCF07;KGCF10;KGCF11;KGCF12;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF34;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF12s1
Prevotella melaninogenica;47.7392;0.2248;1.1663;4.5117;0.4161;46.9805;21.5271;42.4816;0.1439;0.3485;123.051;3.914;0.5845;0.0383;7.3828;0.0804;2.4245;68.8729;1.033;0.171;0.8827;57.1975;0.2776;6.813;0.6151;58.2088;0.9695;6.9106;4.7854;20.815;0.3385;0.23;5.2051;22.4862;65.9251;0.0022;4.0955;38.917;354.3632;127.3735;3409.0201;0.1966;156.6272;1112.7876;0.1845;5.0214;115.6968;14.1841;28.1551;407.83;9.7545;9.9787;15.2845;0.7114;0.4954;25.898;0.6591;30.5843;6.0407;3.0305;111.1958;0.9754;1819.5938;1.2212;0.5658;0.0262;8.8701;936.7526;0.0444;0;0.3113;1.2333;15.6829;72.0289;0.0214;16.7255;64.2196;1.318;6.7479;26.1091;0.0179;0.0002;0;2.4626;2.0195;0.6574;0.0393;0;2.2766;10.0374;15.9733;1.9604
Eubacterium sulci;23.6866;0.007;0.0038;0.007;0.0181;2.3994;0.2683;0.7852;0.0063;0.0009;0.2546;0.2218;0;0.0007;0.6181;0.0042;0.0142;0.201;0.0016;0.0959;0.0082;0.13;0.0009;0.0211;0.1798;5.1129;0.0277;1.3796;0.1169;4.0069;0.0113;0.0543;0.0527;1.6126;17.2965;0.0017;0.821;0.0835;0.3686;7.8574;7.1786;0.0022;0.6316;2.0266;0.0423;0.2788;22.8377;0.8163;5.8791;143.2688;5.4068;6.7021;0.3766;0.0778;0.1498;2.4397;0.004;30.2283;0.0623;0.2252;18.2957;0.0066;128.9891;0.0167;0.821;0.008;0.0061;1.1336;0.0102;0.0003;0.0535;0.0003;0.353;2.9309;0.001;0.0362;0.1973;0.0098;0.0039;0.0442;0.0008;0;0;0.0509;0.2032;0.0686;0.0117;0;0.1434;0.1253;0.6801;0.1713
Veillonella atypica;22.1391;0.0543;2.3711;2.5168;0.1242;7.789;19.931;107.8757;0.012;0.3077;42.2854;2.7993;0.0181;0.3135;14.6251;0.0639;0.0255;56.3009;0.1692;0.2514;0.3537;20.5819;0.1559;10.2788;1.073;12.1835;0.0736;1.1328;3.086;4.1039;0.1749;0.2116;1.7626;30.7263;9.6194;2.158;2.5963;79.9381;153.8691;31.9151;784.641;1.2727;189.8629;2744.2165;339.999;7.129;24.4999;3.1825;130.3034;32.586;4.931;3.8608;28.8476;0.4575;141.859;27.0784;0.7464;70.3824;1.7791;1.3341;137.7587;4.5527;429.3487;1.2532;594.5678;12.3135;5.4614;250.9615;1735.0146;0.0589;0.7997;0.1087;7.6996;177.9828;0.0264;6.6447;29.6055;0.4194;2.6139;14.6651;0.0793;0.0003;7.3601;0.68;18.3972;0.5214;0.12;0.0013;4.8677;1.5161;0.4259;12.4581
Streptococcus parasanguinis;16.7421;0.0694;1.6643;5.6923;0.6756;3.6155;121.9559;50.2792;0.0209;0.2406;15.7566;0.7331;0.0456;0.8565;13.2304;0.1401;1.9927;9.0983;1.5946;29.8755;7.1099;19.4137;0.0635;10.7175;2.1853;20.8379;0.2441;5.7086;4.2315;0.4391;9.5938;0.1674;6.8853;13.1856;17.5249;0.0671;60.5919;38.0344;54.4692;61.6653;348.699;2.6048;54.7943;3872.2308;329.2464;0.7689;14.0782;26.2707;75.8962;36.5386;3.4978;4.0392;15.179;1.3345;103.8872;14.0439;0.8187;82.6416;4.0727;0.9509;22.256;0.7855;539.3352;1.9518;502.2473;73.0445;5.1167;279.4327;934.285;0.1201;13.8427;1.1204;41.7968;883.4543;0.3864;8.2873;19.1369;0.514;0.8201;21.0905;0.1339;1.3097;14.1617;1.0184;2.7091;1.3076;2.4581;0.0197;1.0588;0.5059;0.3662;22.0653
Rothia mucilaginosa;16.4548;0.2146;1.0605;8.1184;11.7053;14.5891;1140.491;37.736;14.4872;0.4971;71.9594;3.0693;0.1015;1.6818;0.0656;0.2913;6.5322;13.8305;7.0738;610.897;203.1082;70.5681;0.1693;17.6436;3.9601;78.8938;0.7236;25.5355;2.4925;4.9843;13.2364;0.7091;34.0322;19.3285;116.1813;21.5516;51.2975;90.2414;107.0319;279.4423;161.2264;22.5188;238.0162;7043.3638;1475.613;5.615;26.2606;62.7867;112.7039;59.4459;35.8907;23.9411;12.4397;4.41;281.892;37.6694;2.2563;132.606;8.8965;2.1928;77.8085;3.2459;1315.8545;2.4819;669.1502;215.6564;9.4622;1018.7176;1060.6409;0.3312;258.3525;0.9841;680.3533;2878.5015;0.233;15.1151;30.0095;0.7991;2.4712;40.0073;0.0892;0.9454;60.6056;6.3874;217.9699;16.0234;17.3475;0;0.3061;31.2334;2.2354;309.2954
Campylobacter concisus;8.4915;0.0379;1.0567;1.2979;0.1022;2.6639;4.9175;6.1156;0.0036;0.0236;8.7097;0.9331;0.0794;0.0625;0.28;0.012;0.5723;23.8094;0.0649;0.2008;0.2628;2.0191;0.0569;1.099;0.3585;7.9477;0.0981;1.5138;0.5978;5.987;0.0552;0.0465;1.0059;45.0977;17.6254;0.0002;0.1699;31.2154;103.1185;8.8762;422.1607;0.1658;38.8519;681.8414;0.2153;7.1823;21.6464;2.175;10.6026;175.6435;6.2461;5.5644;15.0779;1.152;0;13.4402;0.2741;24.8784;2.6453;1.1201;55.965;0.2709;179.4525;0.6784;0.1364;0.0027;0.7406;112.8739;0.0173;0;7.7594;0;6.4243;71.7958;0.1388;0.0556;11.8749;0.8841;0;1.8719;0.0004;0;0;0.3383;12.9435;0.1052;0.0136;0;0.4239;1.2478;0.8997;8.2973
Haemophilus parainfluenzae;6.1868;0.092;0.2805;2.054;5.2998;10.396;44.3285;3.1929;0.2191;0.2799;75.1449;3.8078;0.0955;0.0088;235.7243;0.171;0.0013;23.2583;1.0858;136.234;22.2897;50.1944;0.3137;3.6729;0.3106;50.9024;0.386;10.5459;0.4035;2.312;0.1119;0.1904;22.5215;2.5319;137.8105;1.2503;0.3502;4.5604;38.7414;51.4288;8.7434;0.178;2.2018;547.2098;7.6922;0.7636;126.9121;81.0503;10.5582;15.4938;40.6846;17.1798;1.9834;0.7402;0.6353;4.9826;0.7211;4.1969;1.2467;0.9078;9.3433;0.5536;303.7587;2.0661;0.5471;0.7618;0.1694;261.7933;0.1275;0.0019;173.0896;0.0272;307.1858;321.256;2.8502;0.0551;0.0643;1.8609;0.1057;1.9533;0.0143;0.0001;0;5.3932;0.0007;3.6552;2.3551;0;0.2421;3.8333;1.5469;114.7465
Prevotella jejuni;5.7612;0.075;10.1694;0.4028;0.1881;2.6896;1.1377;32.4208;0.0088;0.0242;9.9324;0.3943;0.0524;0.0068;0.5746;0.0076;1.9384;3.7591;0.1417;0.0328;0.0406;2.6795;0.0201;0.4667;1.6261;3.3101;0.0723;0.2533;0.3495;9.1628;0.0228;0.1045;0.2888;14.1698;3.4042;0.0004;1.1901;15.9809;13.7004;23.9405;485.6865;0.0924;75.2849;56.675;0.0835;2.2442;6.7473;0.8146;113.1193;28.025;0.9716;1.3386;4.9792;0.1134;11.2542;19.4528;0.0717;93.586;0.4617;1.2715;533.1591;0.047;510.7281;0.1726;0.0409;0.0591;0.8168;57.309;0.0362;0;0.1286;0.0577;1.8854;5.8115;0.0027;0.9567;4.9251;0.0723;0.5419;2.0627;0.0062;0;0;0.1733;0.4669;0.0762;0.1319;0;1.9584;0.7428;0.9531;0.2845
Streptococcus sp;4.8241;0.0327;0.0357;0.3511;2.0405;1.6649;10.319;2.2554;0.0227;0.0236;23.5612;1.6968;0.0056;0.0395;15.2757;0.0171;0.2461;4.8088;0.1329;99.9609;15.4721;1.9091;0.0377;5.7346;0.0491;6.8691;0.0761;0.5134;0.2147;0.5383;2.6704;0.0139;3.7889;1.0421;31.1982;0.102;5.2714;9.2555;8.9741;17.0518;52.62;0.1474;19.8337;884.5186;129.9549;0.1266;14.3892;5.9261;5.8562;3.135;4.9632;2.9059;0.6211;0.1094;9.0034;1.1564;0.0866;3.1968;1.2832;0.1421;2.3085;0.36;116.861;0.9747;38.7588;19.6214;1.8965;81.8036;93.6021;0.0369;31.3862;0.1982;103.9065;179.2485;0.2848;2.3432;4.7217;0.1239;0.2517;5.7893;0.1245;0.0837;0;1.191;2.8461;1.4397;4.1295;0.0144;0.0566;2.9893;0.7028;9.0783
Veillonella parvula;2.4862;0.0108;0.2478;0.5134;0.2866;1.8831;19.4505;2.6635;0.0242;0.0244;13.8385;0.4237;0.0478;0.0924;35.3575;0.015;0.0645;2.2237;0.0293;0.6775;0.5252;5.1983;0.0631;2.0204;0.0889;8.4513;0.0277;1.3368;0.5358;0.7813;0.3261;0.0363;1.1557;2.0554;7.5311;1.1022;0.4591;19.1269;16.2854;11.8832;283.1795;0.3336;38.3146;710.0197;179.7273;0.2672;14.3425;3.2437;10.2721;5.7473;4.2603;2.6327;2.4639;0.0901;17.2468;1.7679;0.0936;6.8065;1.5512;0.3076;15.0939;0.903;171.1643;1.0934;48.2063;2.0603;0.9912;124.9503;11.4884;0.0004;1.6043;0.0944;16.4163;209.6412;0.0329;1.6475;5.4254;0.2164;0.1672;5.2436;0.0117;0;0;0.4804;6.017;0.2189;0.0519;0.0618;0.1911;1.2517;0.7533;5.4294
Selenomonas sp;2.4356;0.0026;0.0007;0.0964;0.0028;0.5602;0.0255;0.3846;0;0.0005;0.0266;0.0396;0.0001;0.0071;5.4562;0.0024;0.0002;7.9774;0.0024;0.0058;0.011;0.1585;0.0015;0.4153;0.0965;0.5918;0.0107;0.0119;0.0945;1.0264;0.0013;0.0444;0.0067;17.8296;0.7741;0.0004;0.0127;0.0027;2.4016;0.3913;2.2994;0.0104;0.4909;0.1222;0;1.6392;1.2496;0.035;6.7253;19.6042;0.5108;2.261;6.4239;0.0804;0.002;0.8475;0.0065;11.722;0.0034;0.1131;27.8288;0.0494;73.0232;0.0077;0.0056;0;0.0014;1.2055;0.0078;0;0.0141;0;0.027;0.2692;0.0007;0.0004;3.6265;0;0;0.0079;0.0002;0;0;0.0457;0.0027;0.0039;0.0022;0;0.1752;0.0012;0.0355;0.0132
Prevotella intermedia;1.2676;0.0031;0.1139;0.0253;0.0929;0.3097;0.1006;1.2444;0.0032;0.0112;1.1016;0.0636;0.0082;0.0024;0.5843;0.0022;0.3251;2.0425;0.0047;0.0316;0.034;0.1297;0.0112;0.2258;0.0212;0.885;0.0437;0.1426;0.0577;0.5342;0.0269;0.006;0.167;0.7376;1.3068;0;0.0501;0.3414;4.0487;0.7531;11.775;0.0127;3.3781;20.9533;0.0318;0.0958;1.8913;0.2704;0.9933;3.7477;0.295;0.9613;0.5857;0.1764;0.1352;0.2866;0.5852;1.9279;0.0907;0.0892;6.4286;0.0072;41.7471;0.528;0.0333;0;0.0797;3.0135;0;0.0008;0.3209;0.0129;0.3816;0.7908;0.0339;0.0961;0.2123;0.0174;0.0405;0.4772;0.0009;0;0;0.0573;0.1866;0.026;0.0757;0;0.0724;0.0295;0.238;0.6507
Neisseria mucosa;1.0934;0.4296;0.1911;0.4432;1.6437;0.4852;3.017;0.4804;0.0132;0.2926;7.3483;1.221;0.0461;0.0057;25.5357;0.0303;0;2.0833;0.7427;29.1046;16.074;3.8821;0.2245;0.4027;0.0821;8.9441;1.2397;0.8914;0.1171;0.6185;0.0367;0.0559;2.3579;1.1234;10.6955;0.001;0.0578;4.4882;5.946;3.9437;152.0538;0.0662;0.9587;169.9449;0.4497;0.0765;11.2818;7.9676;2.8332;1.6459;2.9851;5.2399;0.7491;0.0404;0.0083;10.166;0.1957;1.3964;0.0397;0.4074;2.0164;0.0042;86.5608;0.1085;0.1386;0.0129;0.0118;24.0707;0.0255;0;21.6211;0.0029;18.5276;95.7839;0.466;0.1073;0.2068;0.6719;0.0033;0.615;0.0016;0;0;3.8015;0.0007;5.4996;0.606;0.0001;0.2818;0.0757;0.7464;8.2935
Streptococcus sanguinis;1.0328;0.0747;0.0689;0.1317;0.1771;0.5637;5.2994;0.361;0.0054;0.0535;0.5806;0.1966;0.0008;0.0138;0.2155;0.0088;0.0311;0.1449;0.0853;4.4297;2.6744;0.4581;0.0661;0.1477;0.0335;1.2685;0.196;0.0684;0.0779;0.277;0.076;0.011;7.2503;0.6452;0.5044;0.059;2.4674;2.4009;1.182;0.3608;7.2453;0.0314;1.5017;32.162;8.3936;0.0635;0.7971;0.6505;2.7901;0.875;1.0724;1.2745;0.965;0.0221;3.5418;1.4144;0.0184;0.9359;2.8685;0.0969;0.3496;0.1957;14.0172;0.167;2.2206;1.0762;0.1157;5.1145;11.3179;0.0098;0.3673;0.0245;0.9798;5.7339;0.1919;0.1873;0.9326;0.0093;0.0278;0.485;0.0242;0.0784;0;0.2386;0.2827;10.3757;0.5809;0.0018;0.0469;0.0358;0.0541;1.2115
Streptococcus mitis;1.0269;0.4942;0.9898;5.5001;25.2064;21.0676;252.9178;33.0895;0.0064;0.0744;24.8045;1.2687;0.0019;0.0932;1.6194;0.2628;0.3085;0.6895;3.0668;31.2976;2.6259;2.3495;3.1156;0.5133;0.4358;23.0423;11.0682;0.4742;0.2247;1.8601;7.6025;0.2941;274.1571;0.4761;7.6348;3.7654;120.5256;25.456;127.7411;8.1421;287.2202;2.2757;99.3089;880.2091;306.2881;3.0246;31.8373;25.0479;16.6609;27.7348;74.9652;36.4524;7.8898;2.9265;168.5462;23.4303;5.0485;5.5425;173.3584;8.8784;4.7526;9.852;136.0277;121.0516;96.0579;136.794;36.2165;163.7442;142.0188;1.0731;34.3308;3.8497;55.0372;227.2687;36.6976;18.9532;9.1859;1.0754;8.2134;36.8297;1.9405;3.5775;56.8328;0.9577;3.1224;3.3485;37.9699;0.1068;1.2923;0.348;0.8873;41.3346
Atopobium parvulum;1.0199;0.0077;0.1109;0.1751;0.0023;1.9905;1.6246;1.6205;0.0042;0.0126;0.1713;0.0316;0.0001;0.0201;0.0128;0.0033;0.0023;2.3942;0;0.0329;0.0638;0.0927;0.0016;0.0606;0.0471;1.1361;0.0573;0.1399;0.1137;1.0285;0.0247;0.0165;0.0511;0.9845;1.2584;0.0053;0.1694;3.793;6.8307;4.1888;278.2827;0.066;17.1524;0.4521;2.5161;0.5353;2.5531;0.4071;2.8842;4.0702;0.8883;0.4306;2.074;0.1354;4.1922;1.2743;0.0157;6.6135;0.0649;0.2093;11.916;0.0494;87.4406;0.0807;0.0479;0.009;1.8736;64.4523;104.21;0.0357;0.0045;0.003;0.0097;5.6557;0.0111;11.0832;12.9484;0.0605;0.7179;3.7413;0.008;0;0;0.0363;0.0062;0.0063;0.0021;0.0146;0.1988;0.0138;0.2073;0.0188
Streptococcus oralis;0.9646;0.0518;0.1489;0.4415;1.536;2.1376;27.7838;2.6175;0.0094;0.0215;4.1928;0.1803;0.0166;0.2295;1.9566;0.0296;0.1042;0.8365;0.301;12.4227;5.5682;16.5432;0.2719;0.4188;0.044;5.4342;0.9635;0.2144;0.112;0.7348;0.7737;0.0336;13.6675;0.6997;4.9319;0.3113;11.4408;9.8957;9.4875;3.6741;31.9122;0.1775;19.7485;236.6832;128.621;0.3371;7.7928;4.7792;5.1363;6.7701;10.1306;3.9547;0.7843;0.227;24.2607;3.0505;0.3326;2.5185;8.0016;0.6832;2.5669;0.8838;49.0143;4.4922;18.2882;9.8027;3.5104;44.9444;79.7359;0.0559;6.5422;0.2311;14.8898;95.5643;3.6846;1.3976;2.3247;0.1371;0.4335;4.1396;0.3079;0.3912;0;0.4997;3.8282;0.8826;3.2202;0.0071;0.1197;0.3104;0.1803;5.2584
Haemophilus influenzae;0.9047;3.1554;2.0322;1.6599;17.5208;12.1844;11.5164;10.5664;0.7344;0.1166;13.6666;0.3901;0.0453;1.3311;7.8899;0.0986;0.0014;0.1946;9.4119;6.6837;1.0632;0.3359;4.0985;0.0973;19.2336;2.6824;7.9954;0.9459;0.0142;2.0652;1.8113;0.5085;9.4775;0.3587;7.234;0.3531;0.0864;7.0418;7.9174;2.6616;4.8786;3.7295;1.5477;9.2426;41.7416;1.4369;16.7821;5.1442;0.6688;9.015;15.202;69.6799;3.631;0.61;0.0229;37.2183;2.818;0.705;0.1873;32.7566;2.3178;0.0034;9.9645;24.4431;3.6188;0.0203;3.7834;24.3875;0.0139;0.0109;26.5372;0.3694;10.5071;23.9419;2.0941;0.0653;0.7169;1.2866;1.2893;19.2259;0.002;0;15.9309;0.5648;0;1.1156;8.6273;0.0017;1.6385;0.1048;0.4735;14.3308
Prevotella sp;0.8597;0.0173;0.1441;0.246;0.1177;2.4395;0.6919;10.173;0.0426;0.041;4.2776;0.1945;0.005;0.0034;62.9361;0.008;0.3261;0.8429;0.0905;0.8102;0.1275;1.5265;0.0713;0.3095;0.0856;2.9628;0.0575;1.1745;0.1324;0.355;3.4006;0.0551;0.3862;0.977;14.2257;0.0003;0.1452;3.1177;11.7249;6.1349;31.1147;0.0752;12.597;111.1243;0.7383;0.2112;11.1803;5.8985;4.9022;11.3053;2.7828;3.0374;1.8511;0.1636;0.056;1.1451;0.0847;3.2224;0.0773;0.0949;9.0953;0.0997;78.7673;0.1128;0.0545;0.011;0.4367;50.3059;0;0;5.4031;0.0064;9.5227;40.8308;0.1241;0.8216;0.7534;0.1023;0.0839;3.0027;0.0089;0;0;0.3471;45.1827;0.1254;0.1333;0;0.4502;0.5259;0.6414;13.811
Prevotella enoeca;0.807;0.0053;0.1319;0.0718;0.0564;0.5099;0.265;0.5405;0;0.0092;0.7765;0.0533;0.0033;0.0015;1.3733;0.0008;0.079;0.7074;0.1377;0.0203;0.0244;0.6317;0.014;0.0866;0.0392;0.3005;0.0674;0.0865;0.0882;0.2984;0.0113;0.0095;0.053;0.6717;0.8119;0.0007;0.064;0.5005;2.274;0.7753;16.8183;0.0332;4.1985;9.9528;0.045;0.157;1.1097;0.1812;1.2086;5.6377;0.1741;0.3357;0.4119;0.0986;0.1579;0.5915;0.0123;1.3935;0.023;0.0489;6.2897;0.0638;12.5861;0.0963;0.0067;0.0165;0.1581;3.3317;0;0;0.5024;0.0111;0.3881;1.8636;0.0066;0.2799;0.9099;0.0256;0.1079;0.7414;0.0009;0;0;0.0343;0.2547;0.0164;0.0271;0;0.0897;0.0795;0.0529;0.2933
Filifactor alocis;0.7067;0.0011;0.0037;0.0021;0.0138;0.0728;0.0906;0.0705;0;0.0011;0.1549;0.0148;0.0002;0.0003;0.2042;0.0008;0.0077;0.2742;0.0028;0.0195;0.0241;0.0197;0.0026;0.014;0.0336;0.3993;0.0111;0.0293;0.134;0.0825;0.0144;0.0022;0.0231;0.2621;0.3186;0.0146;0.0174;0.0655;0.4239;0.2891;10.1291;0.0004;0.0837;0.976;0.0572;0.0243;1.4001;0.075;1.3176;4.1671;2.1198;0.7268;0.8203;0.0683;0.0346;0.2245;0.1085;1.4237;0.0318;0.0081;2.0994;0.0024;15.2595;0.0039;0.0083;0.0029;0.0167;0.3066;0;0;0.1986;0;0.4045;0.2663;0.0049;0.0024;0.0151;0.0025;0.0009;0.0859;0.0009;0;0;0.0675;0.2661;0.0032;0.003;0;0.0163;0.0039;0.0992;0.0457
Prevotella fusca;0.6029;0.0031;0.0439;0.0418;0.0799;0.5013;0.3828;0.9329;0.0015;0.0122;0.9347;0.0522;0.002;0.0019;0.4622;0.0002;0.0778;0.7512;0.0074;0.0223;0.0167;0.5866;0.0071;0.134;0.0171;0.5184;0.0272;0.0288;0.0406;0.1991;0.0136;0.0054;0.0731;0.3412;0.6604;0;0.0489;0.6557;0.965;1.0054;24.5408;0.0081;3.1884;4.7152;0.2014;0.0767;1.5329;0.2611;1.1401;5.2733;0.1853;0.2351;1.1593;0.0832;0.0782;0.2933;0.0153;1.2774;0.0431;0.0518;9.5889;0.011;32.2015;0.0722;0.0176;0.003;0.1104;9.4637;0.0049;0;0.7367;0.0033;0.9104;1.5226;0.0627;0.1378;0.7041;0.0149;0.0844;1.2457;0.0002;0;0;0.0374;0.1797;0.0201;0.0303;0;0.0793;0.1022;0.1289;0.2625
Prevotella denticola;0.5717;0.0039;0.1015;0.0529;0.0564;0.3255;0.417;0.8147;0.0009;0.0051;0.867;0.0519;0.0055;0.0022;0.3564;0.0017;0.0987;0.6269;0.0129;0.0208;0.9552;0.493;0.0093;0.0673;0.0259;0.3975;0.0129;0.0736;0.0748;0.2883;0.0053;0.0162;0.0503;0.4523;0.6815;0.0007;0.0852;1.369;2.5151;1.2329;29.0158;0.0239;4.5912;9.9799;0.0501;0.0927;1.1509;0.2352;1.3119;4.2874;0.1367;0.2383;1.0497;2.3526;0.1012;0.502;0.0104;1.7741;0.0826;0.0415;7.2748;0.0099;18.5023;0.0691;0.0131;0.0066;0.1614;6.7788;0.006;0;0.43;0.0086;0.3934;1.176;0.0026;0.1999;1.1639;0.018;0.1297;0.5059;0.0014;0;0;0.028;0.1384;0.0128;0.0295;0;0.1022;0.0689;0.0967;0.1952
Streptococcus pseudopneumoniae;0.551;0.6434;0.3706;2.7666;38.3533;12.4162;175.2714;33.722;0.0034;0.2435;11.9138;1.1664;0.0015;0.0465;1.1384;0.1908;0.1615;0.3017;4.3842;16.8712;1.1949;0.8744;3.3201;0.4422;0.2466;11.298;9.5767;0.2988;0.1027;1.161;2.1118;0.2577;50.1444;0.303;4.1987;1.9848;56.46;14.9054;41.2962;7.8052;43.748;3.7271;40.6454;246.0093;122.7957;1.4906;17.1024;13.8013;9.9736;31.4899;47.7287;45.3241;5.0568;5.39;62.162;23.7874;8.2992;5.6636;30.628;12.96;2.5349;5.7145;79.4394;37.9832;27.913;46.3355;19.1212;75.508;66.8114;0.331;25.9274;1.0815;26.5917;124.3487;16.7474;13.7879;5.236;0.5028;3.579;15.0365;0.811;1.6571;6.961;0.5065;1.3246;2.9117;27.5527;0.0541;1.3711;0.1659;0.4451;29.5437
Rothia aeria;0.3244;0.3195;0.1745;0.0523;0.864;0.0635;10.1844;0.0831;0.0071;0.0045;0.182;0.4036;0.0001;0.0102;0.2978;0.0925;0.0065;0.0625;0.7483;12.9662;4.038;0.0614;0.0256;0.038;0.0309;2.7359;0.3877;0.2405;0.0581;1.2302;0.0627;0.0089;0.0334;0.1086;0.3997;0.0037;0.0708;0.5423;0.5024;0.5749;4.1152;0.1647;1.1271;8.305;7.6945;0.0334;0.4343;0.5094;4.4346;0.6949;0.7251;0.6365;1.3367;0.0253;0.2138;0.9571;0.0631;2.8829;0.0537;0.2213;0.7355;0.0098;6.2076;0.0301;0.4113;0.979;0.0624;1.6767;4.6266;0.0021;0.2475;0.0062;0.6145;3.6018;0.0013;0.0991;1.0929;0.0371;0.0133;0.2664;0.0015;0.0025;0;0.2653;0.7007;1.5233;0.0202;0;0.0387;0.0218;0.1651;0.1453
Gemella sp;0.2966;0.0203;0.1427;0.0846;1.7107;0.6515;6.7567;0.4438;0.0005;0.0011;1.0026;0.061;0.0004;0.0021;0.0597;0.0047;0.0093;0.0855;0.0921;1.5912;0.1387;0.0074;0.0461;0.0397;0.0937;1.1356;0.5082;0.0554;0.0214;0.0563;0.0222;0.0118;8.4066;0.152;0.7794;0.2128;0.1528;0.5767;1.4919;0.7237;4.7388;0.0098;0.8381;18.0058;3.5577;0.2204;0.8397;1.2286;0.4017;2.1998;1.5253;1.2318;0.5118;0.0446;1.1908;1.474;0.165;0.4325;1.3331;0.8126;0.5307;0.0199;6.5651;1.615;0.1981;0.2723;0.2039;4.2795;0.1755;0.013;1.3243;0.0045;3.0605;9.9435;0.3262;0.2136;0.1867;0.0964;0.1437;0.5732;0.0054;0.0155;0;0.0514;0.9152;0.0716;0.1948;0.0006;0.0212;0.0064;0.061;1.0814
Achromobacter xylosoxidans;0.2748;0.176;0.1945;0.0138;0.0066;0.0091;0.2531;0.1789;0.0169;0.0512;0.1075;0.0871;0.2561;0.0021;0.0908;0.0084;0.0028;0.037;0.0317;0.0414;0.0062;0.0049;0.0085;0.0037;0.0924;0.0094;0.003;0.2617;0.0256;0.0057;0.0029;0.0106;0.0271;0.0146;0.0391;0.0033;0.0438;0.1186;0.0205;0.0391;2.8042;0.0036;0.1151;0.8094;0.0826;0.0278;0.02;0.0521;0.1915;0.0162;0.0114;0.0105;0.0105;0.0131;0.0314;0.0229;0.0094;0.3733;0.0128;0.0354;0.0687;0.0118;0.1967;0.008;0.0934;0.0361;0.0308;0.0346;0.1699;0.0133;0.0235;0.0041;0.0257;0.0853;0.0147;0.0053;0.0058;0.0102;0.0187;0.0107;0.0871;0.007;0;0.0355;0.0602;0.384;0.0097;0.0027;0.0359;0.0087;0.0071;0.0738
Capnocytophaga leadbetteri;0.2515;0.0146;0.071;0.6806;0.0907;0.2576;0.4193;0.256;0.0015;0.0051;1.6435;0.0936;0.0063;0.0007;0.6448;0.0341;0.017;0.1861;0.0326;0.6423;0.1309;0.1077;0.2036;0.3584;0.3402;10.2922;0.0528;0.0398;0.054;1.3028;0.0141;0.0039;0.1907;1.048;11.3853;0.0017;0.0205;0.3296;0.6265;0.4568;0.742;0.0085;1.2891;9.1572;0.4411;0.0905;55.8825;7.8491;0.4193;72.8467;15.9219;5.6881;1.3129;0.0217;0.0166;0.1861;0.0465;1.8226;0.0533;0.0092;1.5309;0.2993;28.9024;0.4213;0.0347;0.0022;0.029;4.5947;0.0035;0;12.417;0.0036;37.035;3.6655;0.0137;0.0321;0.1997;0.0055;0.0479;0.2838;0.0029;0;0;0.7711;0.2066;0.1082;0.1486;0;0.045;0.0342;0.3389;1.4817
Fusobacterium nucleatum;0.2414;0.0746;0.0058;0.0312;0.037;0.2795;0.2414;0.244;0;0.0274;1.0846;0.0288;0;0.0046;0.0097;0.0051;0.0099;0.1546;0.0487;0.1109;0.1038;0.0013;0.012;0.1571;0.262;0.6246;0.1063;0.0518;0.1323;0.1583;0.0263;0.0032;0.0275;0.1856;0.9355;0.0002;0.0092;0.0189;0.5088;0.2678;6.7562;0.0239;0.0817;6.4842;0.0762;0.1369;1.5972;0.4466;0.0869;1.6052;0.7435;0.3156;0.4551;0.699;0.0011;0.0825;0.0278;0.5243;0.0023;0.0292;0.5826;0.0152;3.7029;0.0162;0.003;0.0013;1.113;0.5337;0.0041;0;0.4805;0.0727;0.7682;0.6015;0.0035;0.0038;0.0033;0.0018;0.0008;0.3015;0.0015;0;0;0.3659;0.1907;0.0073;0.0015;0;0.0123;0.0004;0.1345;0.7544
