Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF06;KGCF07;KGCF10;KGCF11;KGCF12;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF34;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF43;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF12s1
Paenibacillus larvae;0.013;0;0;0.0001;0.0003;0;0;0.0005;0;0;0.0012;0.0001;0;0;0.004;0;0;0.0007;0;0.0018;0.0004;0.0002;0.0001;0.0002;0;0.0016;0;0;0.0001;0.0003;0;0;0.0009;0.0014;0.0032;0;0;0.0018;0.0014;0.001;0.0153;0.0001;0.0096;0.1035;0;0.0001;0.0011;0.001;0.0034;0.002;0.0009;0.0008;0.0005;0;0.0006;0.0011;0;0.002;0.0001;0;0.016;0.0001;0.0446;0;0.0024;0;0.0003;0.0176;0;0;0.0034;0;0.0045;0.0276;0;0.0014;0.0002;0;0;0.0004;0;0;0;0.0002;0;0;0;0;0;0.0003;0.0001;0.0014
Methylibium petroleiphilum;0.013;0;0;0.0001;0.0003;0.0011;0.0144;0.0002;0;0;0.0117;0.0009;0;0.0001;0.0082;0;0.0001;0.0013;0;0.0015;0.0004;0.0003;0;0.0003;0;0.0008;0.0002;0.0004;0.0001;0.0001;0;0;0.0003;0.0017;0.0025;0;0;0.0004;0;0.0026;0;0;0;0.4746;0;0.0001;0.0008;0.0012;0.0051;0.001;0.0003;0.0039;0.0006;0.0001;0.0006;0.0051;0;0.0023;0.0014;0;0.0015;0;0.017;0;0.0087;0;0;0.0205;0;0;0.0003;0;0.003;0.0028;0;0;0.0002;0;0;0;0;0;0;0.0001;0.0003;0.002;0;0;0;0.0001;0.0002;0.0022
Bacillus halodurans;0.0125;0;0.0001;0.0001;0.0002;0;0;0;0;0;0.0021;0;0;0;0.0059;0;0.0004;0.0006;0;0.0048;0.0009;0.0002;0;0.0003;0.0001;0.0008;0;0.0002;0.0001;0.0003;0;0;0;0.0004;0.0022;0;0.0005;0.003;0.002;0.0021;0.0442;0;0.0215;0.1578;0.0044;0;0.0043;0.0013;0.0025;0.0033;0.0015;0.0012;0.0001;0;0;0.003;0.0001;0.0016;0.0008;0.0002;0.0086;0.0001;0.0327;0.0032;0.0061;0;0.0003;0.0211;0;0;0.0025;0;0.0057;0.0186;0;0.0002;0.0008;0;0.0004;0.0014;0;0;0;0.0001;0.0002;0.0002;0;0;0;0.0002;0.0001;0.0016
Virgibacillus dokdonensis;0.0123;0;0.0004;0.0005;0.001;0.0004;0;0.0017;0;0;0.0015;0.0002;0;0;0.0101;0;0;0.0003;0;0.0031;0.0004;0.0006;0.0004;0.0002;0.0001;0.0032;0.0001;0.0005;0;0.0001;0;0;0.0003;0.0003;0.0037;0.0001;0;0.0036;0.0043;0.0011;0.0116;0;0.0182;0.3356;0.0043;0;0.0053;0.0022;0.0004;0.0016;0.0029;0.0022;0.0001;0;0;0.0002;0.0001;0.0007;0.0027;0.0001;0.0018;0;0.0363;0.0037;0.0038;0;0.0008;0.0431;0;0;0.0059;0.0001;0.0134;0.0184;0;0;0.0015;0.0002;0;0.0027;0;0;0;0.0002;0.0031;0;0;0;0;0.0008;0.0002;0.0016
Eubacterium maltosivorans;0.0121;0;0;0.0001;0.0003;0.008;0.0134;0.0025;0;0;0.0449;0.0072;0;0;0.0391;0;0;0.0238;0;0;0.0004;0.0002;0;0.0068;0;0.0041;0;0.0018;0.0003;0.0025;0.0015;0;0.0003;0.0137;0.2143;0;0;0.0008;0.0374;0.0085;0.0885;0.0002;0.0834;0.1046;0.0042;0.0123;0.0386;0.0042;0.0093;0.0431;0.0082;0.0086;0.0088;0.0013;0.0069;0.0015;0;0.0629;0;0.0003;0.0327;0.0001;0.1981;0;0.0141;0.0026;0.0003;0.0778;0;0;0.0019;0;0.0045;0.0026;0;0;0.0002;0.0001;0.0002;0.0115;0;0;0;0.0003;0.0024;0.0001;0;0;0.0009;0;0.0033;0.0013
Eubacterium limosum;0.0119;0;0;0;0;0.0001;0;0.0003;0;0;0;0;0;0;0.0002;0;0;0.0005;0;0;0;0.0001;0;0.0001;0.0001;0.0037;0;0;0;0;0;0;0;0.0003;0.0006;0;0;0.0002;0.0016;0.0005;0.042;0;0.0022;0;0;0.0001;0.0023;0.0007;0.002;0.0053;0.0004;0.0008;0.0004;0;0;0.0005;0;0.0012;0;0;0.0068;0;0.0136;0;0;0;0;0.004;0;0;0.0005;0;0;0;0;0;0.0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Clostridium argentinense;0.0113;0.0001;0.0004;0.0006;0.0075;0.003;0.025;0.0029;0;0;0.0095;0.0003;0;0;0.0032;0.0002;0.0001;0.0033;0;0.0061;0.0015;0.0007;0.0002;0.0005;0.0004;0.0051;0.0007;0.0007;0.0002;0.0004;0.0005;0.0001;0.0232;0.001;0.0061;0.0001;0;0.0054;0.0066;0.0053;0.0611;0.0001;0.0055;0.0299;0.0197;0.0019;0.0181;0.0075;0.0037;0.0186;0.0063;0.0071;0.003;0.0003;0.0045;0.0063;0.0004;0.0064;0.0038;0.0014;0.0236;0.0002;0.0848;0.0083;0.0055;0.0012;0.0006;0.0343;0;0.0001;0.0089;0;0.0119;0.0456;0.0013;0.001;0.0032;0.0002;0.0004;0.0071;0;0;0;0.0004;0.0028;0.0003;0.0007;0;0.0002;0.0001;0.0019;0.0084
Bacillus cellulosilyticus;0.0112;0;0.0001;0;0.0031;0;0;0.0012;0;0;0.002;0.0001;0;0;0.0005;0;0.0001;0.0006;0;0.0007;0;0.0004;0.0001;0.0001;0.0001;0.0005;0.0003;0;0;0.0006;0.0001;0;0.0169;0.0004;0.0026;0.0001;0;0.0021;0.0036;0.0007;0.0053;0;0.0173;0.0075;0.0039;0.0004;0.0041;0.002;0.0012;0.0012;0.0017;0.0017;0.0014;0;0.0015;0.0018;0.0001;0.0024;0.0055;0.0001;0.0045;0.0001;0.022;0.0019;0;0;0.0004;0.0202;0.0019;0;0.0015;0;0.0026;0;0.0004;0;0.0002;0.0002;0;0.0005;0.0004;0.0001;0;0;0.0012;0;0.0007;0;0.0002;0.0007;0.0003;0.0012
Clostridium estertheticum;0.011;0;0.0005;0.0001;0.0003;0.0009;0;0.0023;0;0;0.0035;0;0;0;0.0021;0;0.0002;0.0011;0;0.0009;0.0004;0.0028;0.0001;0.0002;0;0.0031;0;0.0001;0.0001;0.0005;0.0001;0;0.0005;0.0035;0.0047;0.0005;0;0.0026;0.0041;0.0013;0.0989;0.0002;0.0088;0;0.0077;0.0002;0.0057;0.0032;0.0044;0.0049;0.0052;0.0018;0.001;0.0001;0.001;0.0015;0.0002;0.0035;0.0007;0.0002;0.0216;0;0.0596;0.0011;0.0014;0;0.0004;0.0137;0;0;0.008;0;0.012;0.0211;0.0004;0.001;0.0018;0.0001;0;0.0011;0;0;0;0;0.0035;0.0001;0;0;0.0002;0.0002;0.0004;0.0054
Alkaliphilus metalliredigens;0.0106;0;0;0.0002;0.0004;0.0008;0;0.001;0;0;0.0018;0.0002;0;0;0.006;0;0.0001;0.0016;0;0.0023;0.0004;0.0014;0;0.0001;0.0001;0.0015;0.0005;0;0.0003;0.0003;0;0.0001;0.0003;0.0006;0.0049;0;0;0.0009;0.004;0.0011;0.0226;0.0001;0.0033;0;0.0037;0.0004;0.0041;0.0011;0.0036;0.0058;0.0009;0.0017;0.0016;0.0002;0.0005;0.0014;0.0001;0.0024;0;0;0.0086;0.0001;0.0244;0.0021;0;0.0006;0;0.012;0.0018;0;0.0019;0.0001;0.007;0.0295;0;0;0.0002;0.0001;0.0002;0.0005;0.0001;0;0;0;0.0004;0.0003;0.0001;0;0;0.0001;0.0006;0.0029
