Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
Frateuria aurantia;0.00012;0;0;0;0;0;0;0.00006;0;0;0
Candida ;0.00016;0;0;0;0;0;0;0.00009;0.00008;0;0
Mycobacterium marseillense;0;0;0;0;0;0;0;0;0;0;0
Yersinia similis;0;0;0;0;0;0;0;0.00018;0;0;0
Methanobacterium congolense;0;0;0;0;0;0;0;0;0;0.00009;0
Pseudoalteromonas phenolica;0;0;0;0;0;0;0.00006;0;0;0;0
Vibrio navarrensis;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus mucosae;0;0;0;0;0;0;0;0;0;0;0
Dermacoccus nishinomiyaensis;0;0;0;0;0.00007;0;0;0.00014;0;0;0
Sulfurovum lithotrophicum;0;0;0;0;0;0;0;0.00039;0;0;0
Pichia kudriavzevii;0.00849;0.00053;0.00034;0.00017;0.00016;0.00016;0.00016;0.00014;0.00011;0.00008;0
Staphylothermus hellenicus;0;0;0;0;0;0.00014;0;0;0;0;0
Corynebacterium doosanense;0;0;0;0;0;0;0;0.00041;0;0;0
Mesorhizobium ciceri;0;0;0;0;0;0;0;0;0;0;0
Bacillus pseudomycoides;0;0;0.00004;0;0;0;0.00004;0;0;0;0
Cardiobacterium hominis;0;0.00008;0.00112;0;0.00008;0;0.00129;0.00057;0;0;0
Erysipelatoclostridium ramosum;0;0;0;0;0;0.00013;0;0.0002;0;0;0
Methanothermobacter wolfeii;0.00013;0.00076;0.00102;0.00128;0.00051;0.00178;0.00077;0.00052;0.00064;0.00013;0
Fictibacillus phosphorivorans;0;0;0;0;0;0;0.00005;0.00021;0;0;0
Bordetella trematum;0.00005;0;0;0;0.00005;0;0;0;0;0;0
Sulfuriflexus mobilis;0;0;0.00007;0;0;0;0;0.00007;0;0;0
Erysipelothrix larvae;0;0;0;0;0;0.00009;0;0.00035;0;0;0
Flaviflexus salsibiostraticola;0;0;0;0;0;0;0;0;0;0;0.00017
Haematobacter massiliensis;0;0;0;0.00017;0;0;0;0;0;0;0
Roseomonas gilardii;0;0;0;0;0;0;0;0;0;0;0
Bacillus phage;0;0;0;0;0;0;0;0;0;0;0
Helicobacter himalayensis;0.00012;0;0;0;0;0.00012;0;0.00024;0;0;0.00012
Haloplanus rubicundus;0;0;0;0;0;0;0;0;0;0;0
Achromobacter xylosoxidans;0.00013;0.00007;0.00006;0.00006;0;0;0;0;0;0;0
Citrobacter freundii;0;0;0;0;0;0;0;0;0;0;0
Herbinix luporum;0;0;0;0;0;0;0;0.00042;0.00008;0;0
Massilia armeniaca;0;0.00003;0;0;0;0;0;0;0;0;0
Paracoccus contaminans;0;0;0;0.00007;0;0;0;0;0.00007;0;0
Paenarthrobacter aurescens;0;0;0;0;0;0.00005;0.00005;0.00009;0;0;0
Streptococcus constellatus;0.00087;0.00045;0;0.00022;0.00022;0;0.00032;0.00022;0;0;0
Bordetella petrii;0;0;0;0;0;0;0;0.00008;0;0;0
Shewanella putrefaciens;0;0;0;0;0;0;0;0;0;0;0
Campylobacter blaseri;0;0;0.00011;0;0;0;0;0.00023;0;0.00011;0
Pelobacter propionicus;0;0;0;0;0;0;0;0.00027;0;0;0
Corynebacterium callunae;0;0;0;0;0;0;0;0.00023;0;0;0
Burkholderia metallica;0.01111;0.00417;0.00338;0;0;0;0;0;0;0;0
Gilliamella apicola;0;0;0;0;0;0;0.00007;0.00028;0;0;0
Pontibacter actiniarum;0;0;0;0;0;0;0;0.00023;0;0;0
Xanthomonas vesicatoria;0;0;0;0;0;0;0;0;0;0;0
Chlorobaculum parvum;0;0;0.00009;0;0;0;0;0.00038;0;0;0
Streptomyces tendae;0;0;0;0;0;0;0;0.00006;0;0;0
Streptomyces noursei;0;0;0;0;0;0;0;0.00002;0;0;0
Thermodesulfobacterium commune;0;0;0;0;0;0;0;0.00012;0;0;0
Chlorobium chlorochromatii;0;0;0;0;0;0;0.00008;0;0;0;0
Mycoplasma salivarium;0;0.00021;0;0;0;0;0;0;0;0;0
Anaerococcus prevotii;0;0;0;0;0;0;0;0.00023;0;0;0
Isoptericola dokdonensis;0;0;0;0;0;0;0.00017;0;0;0;0
Arcobacter skirrowii;0;0;0;0;0;0;0;0;0;0;0
Comamonas serinivorans;0;0;0;0;0;0.00005;0;0.00005;0;0;0
Schaalia meyeri;0;0.00084;0.00073;0;0.00178;0.0001;0.00494;0.00021;0.00011;0.00021;0
Stigmatella aurantiaca;0;0;0;0;0;0;0;0.00006;0;0;0
Leptolyngbya boryana;0;0;0;0;0;0;0;0;0;0;0
Prosthecochloris aestuarii;0;0;0;0;0;0;0;0.00026;0.00009;0;0
Dolosigranulum pigrum;0;0;0;0;0.00021;0;0.00031;0.00042;0;0;0
Acetobacter oryzoeni;0;0;0;0;0.00008;0;0;0.00016;0;0;0
