Species;SRR3284698_CF;SRR3284701_CF;SRR3284702_CF;SRR3284703_CF;SRR3284706_CF;SRR3286490_CF;SRR3286491_CF;SRR3286492_CF;SRR3286493_CF;SRR3286494_CF;SRR3286495_CF
Leuconostoc mesenteroides;0;0;0;0;0;0;0;0;0;0;0
Halobacteriaceae archaeon;0;0;0;0;0;0;0;0.00013;0;0;0
Streptomyces glaucescens;0;0;0;0;0;0;0;0.00003;0;0;0
Weissella jogaejeotgali;0;0;0;0;0;0;0;0;0;0;0.0001
Erwinia pyrifoliae;0;0;0;0;0;0;0.00005;0;0;0;0
Geobacillus genomosp.;0;0;0;0;0;0;0;0.00013;0;0;0
Streptococcus gallolyticus;0;0;0;0;0;0;0;0;0;0;0
Mycoplasma bovis;0;0;0;0;0;0;0;0;0;0;0
Mycolicibacter sinensis;0;0;0;0;0;0;0;0.00019;0;0;0
Nocardioides humi;0;0;0.00003;0;0;0;0;0;0;0;0
Flavobacterium indicum;0;0;0;0;0;0;0;0.00022;0.00007;0;0
Pseudomonas rhizosphaerae;0;0;0;0;0;0;0;0;0;0;0.00014
Pseudoxanthomonas mexicana;0;0;0;0;0;0;0;0;0.00005;0;0.00005
Erwinia persicina;0;0;0;0;0;0;0.00004;0;0;0;0
Desulfurella acetivorans;0;0;0;0;0;0;0.00012;0.00024;0;0;0
scitamineum strain;0.00137;0.00076;0.00066;0.00052;0.00042;0.0004;0.00039;0.00037;0.00034;0.00033;0.00032
Erwinia billingiae;0;0;0;0;0;0;0;0;0;0;0.00004
Pyrobaculum arsenaticum;0;0;0;0;0;0;0;0.00021;0;0;0
Burkholderia lata;0.00717;0.00576;0.00503;0.005;0.00215;0.00205;0.002;0.00188;0.00047;0;0
Marinitoga piezophila;0;0.0001;0;0;0;0;0.0001;0.0001;0;0;0
Corynebacterium diphtheriae;0;0;0;0;0;0;0;0;0;0;0
Staphylococcus phage;0;0;0;0;0;0;0;0;0;0;0
cerevisiae strain;0.00055;0.00041;0.00039;0;0;0;0;0;0;0;0
Pseudomonas monteilii;0;0;0;0;0;0;0;0;0;0;0
Acetobacter aceti;0;0;0;0;0.00017;0;0.00006;0;0;0;0
Marinithermus hydrothermalis;0;0;0;0;0;0;0;0.0001;0;0;0
Janthinobacterium svalbardensis;0;0;0;0;0;0;0;0.00007;0;0;0
Fibrobacter succinogenes;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus kefiri;0;0;0;0;0;0;0.00018;0.00009;0;0;0
Muribaculaceae bacterium;0;0;0.00006;0;0;0.00013;0;0.00345;0;0;0
Yersinia mollaretii;0;0;0;0;0;0.00005;0;0;0;0;0
Deinococcus gobiensis;0;0;0;0;0;0;0;0.00049;0;0;0
Thermodesulfatator indicus;0;0;0;0;0;0;0.00019;0.00019;0;0;0
Raoultella ornithinolytica;0;0;0;0;0;0;0;0;0;0;0
Paludibacter propionicigenes;0;0;0;0;0;0;0.00006;0.00018;0;0;0
Lactobacillus allii;0;0;0;0;0;0;0;0.00009;0;0;0
Chitinophaga caeni;0;0;0;0.00004;0;0;0;0.00016;0;0;0
Nocardia nova;0;0;0;0;0;0;0.00003;0.00003;0;0;0
Planococcus faecalis;0;0;0;0;0;0.00006;0;0;0;0;0
Baumannia cicadellinicola;0;0;0;0;0;0;0;0.00063;0;0;0
Leptospira weilii;0.00005;0;0;0;0.00011;0;0;0;0.00011;0;0
Lactobacillus nenjiangensis;0;0;0;0;0;0;0.00039;0.00069;0;0;0
Streptomyces rochei;0;0;0;0;0;0;0;0.00005;0;0;0
Brachyspira intermedia;0;0;0.00006;0;0;0.00006;0;0.00039;0;0;0
marxianus DNA;0.00046;0.00023;0.00018;0.00014;0.00013;0;0;0;0.00014;0;0
Herbaspirillum seropedicae;0;0;0;0;0.00004;0;0;0;0.00008;0.00004;0
Xanthomonas citri;0.00008;0;0;0;0;0;0;0;0;0;0
Nitrospirillum amazonense;0;0;0;0;0;0;0;0;0;0;0
Phyllobacterium zundukense;0;0;0;0;0;0;0;0.00022;0;0;0
Pseudomonas pseudoalcaligenes;0.00019;0.00009;0;0;0;0;0.00055;0.00018;0.00009;0;0
Vagococcus teuberi;0;0;0;0;0.0001;0;0.0004;0.00351;0;0;0
Burkholderia diffusa;0.00224;0.00189;0.00072;0;0;0;0;0;0;0;0
Sphingobacterium mizutaii;0;0;0;0;0;0;0;0.00009;0;0;0
Paraburkholderia fungorum;0;0;0;0;0;0;0;0;0;0;0
Coxiella burnetii;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus frumenti;0;0;0;0;0;0;0;0.00012;0;0;0
Luteimonas yindakuii;0;0.00007;0;0;0;0;0;0.00014;0;0;0
Bacillus flexus;0;0;0;0;0;0;0;0;0;0;0
Streptococcus suis;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas soli;0;0;0;0.00249;0.00003;0.00003;0;0.00007;0;0;0.00007
Rufibacter tibetensis;0;0;0.00004;0;0;0;0;0.00008;0;0;0
Streptomyces griseus;0;0;0;0;0;0;0;0;0;0;0
Acidimicrobium ferrooxidans;0;0;0;0;0;0;0;0.0003;0;0;0
Capnocytophaga gingivalis;0.00008;0;0.00272;0;0.00045;0.00196;0.00379;0.00736;0;0.00113;0
Mycoplasma agalactiae;0;0;0;0;0;0;0;0;0;0;0
Bisgaardia hudsonensis;0;0;0;0;0;0;0.0003;0;0;0.0001;0
Sodalis praecaptivus;0;0;0;0;0;0;0.00005;0.00009;0;0;0.00005
Metabacillus litoralis;0;0;0;0;0;0;0;0.00017;0;0;0
Dialister pneumosintes;0;0;0.00067;0;0;0;0;0.00017;0;0.00589;0
Bacteroides dorei;0.00012;0.00012;0;0;0;0;0.00008;0;0;0;0
Aminobacter aminovorans;0;0;0;0;0;0;0.00008;0;0;0;0
Pseudomonas azotoformans;0;0;0;0;0;0;0;0;0;0;0
Oceanisphaera profunda;0;0;0;0;0;0;0.00006;0.00012;0;0;0
Aquicella siphonis;0;0;0;0;0;0;0.00009;0;0;0;0
Cellulomonas gilvus;0;0;0;0;0;0;0;0.00012;0;0;0
Streptococcus urinalis;0;0;0;0;0;0.0001;0.0007;0.0003;0;0;0.0002
Desulfitobacterium metallireducens;0;0;0;0;0;0;0.00007;0.00027;0;0;0
Pseudopedobacter saltans;0;0.00005;0;0;0;0;0;0.00014;0;0;0
Deinococcus irradiatisoli;0;0;0;0;0;0;0;0.00014;0;0;0
Caldilinea aerophila;0;0;0;0;0;0.00004;0;0.00017;0;0;0
Corynebacterium variabile;0;0;0.00012;0;0;0;0.00038;0.00013;0;0.00006;0
Caulobacter rhizosphaerae;0;0;0;0;0;0;0;0.00008;0;0;0
Kitasatospora setae;0;0;0;0;0;0;0;0.00005;0;0;0
Nitrosomonas communis;0.00005;0;0.00016;0;0;0;0;0;0.00005;0;0.00005
Cellulosimicrobium cellulans;0;0;0;0;0;0;0;0;0;0;0
Hippea maritima;0;0;0;0;0;0;0;0.00026;0;0;0
Chryseobacterium piperi;0;0.00005;0;0;0.00005;0;0.00005;0.00034;0;0;0
Cytobacillus kochii;0;0;0;0;0;0;0;0.00029;0;0;0
Bacillus smithii;0;0;0;0;0;0;0;0.00013;0;0;0
Bacteroides uniformis;0;0;0.00005;0;0;0;0.00009;0.00106;0;0;0
Acidianus manzaensis;0;0;0;0;0;0;0;0.00032;0;0;0
Lactobacillus mali;0;0;0;0;0;0;0;0.00043;0;0;0
Sulfurimonas autotrophica;0;0;0;0.0001;0;0;0;0;0;0;0
Desulfoglaeba alkanexedens;0;0;0.00006;0;0;0;0;0.00013;0;0;0
Pasteurella dagmatis;0;0;0;0;0;0;0.00019;0.00038;0;0;0
Epibacterium mobile;0;0;0;0;0;0;0.00007;0;0;0.00018;0.00013
Thermoanaerobacterium aotearoense;0;0;0;0;0;0;0;0.00016;0;0;0
Leptospira biflexa;0.00006;0;0;0;0;0.00077;0;0;0;0;0
Treponema primitia;0;0;0;0;0;0;0.00005;0;0;0;0
delbrueckii strain;0;0;0;0;0;0;0;0;0;0;0
Sphingobium amiense;0;0;0;0;0;0;0;0.00021;0;0;0
Porphyromonas gingivalis;0;0;0;0;0;0;0;0;0;0;0
 Brevibacterium;0;0;0;0;0;0;0;0;0;0;0
Chryseobacterium carnis;0;0;0;0;0;0;0.00007;0.00007;0;0;0
Halalkaliarchaeum desulfuricum;0;0;0;0;0;0;0;0.00026;0;0;0
Thiomicrospira cyclica;0;0;0;0;0;0;0.00011;0;0;0;0
Francisella orientalis;0;0;0;0;0;0;0;0;0;0;0
Saliniradius amylolyticus;0;0;0;0;0;0;0;0.00007;0;0;0
Clostridium acetobutylicum;0;0;0;0;0;0;0;0;0;0;0
Pseudomonas veronii;0;0;0;0;0;0;0.00003;0;0;0;0
Mycobacterium colombiense;0;0;0;0;0;0.00004;0;0;0;0;0
Rubrivivax gelatinosus;0;0;0;0;0;0;0;0.00017;0;0;0
Pigmentiphaga aceris;0;0;0;0;0;0;0;0.00011;0;0;0
Ensifer mexicanus;0;0;0;0;0;0;0;0.0002;0;0;0
Neisseria dentiae;0;0;0;0;0;0;0;0;0;0.00016;0
Thermosulfidibacter takaii;0;0;0;0;0;0;0;0.00024;0;0;0
Fervidobacterium nodosum;0;0;0;0;0;0;0;0.00022;0;0;0
Vibrio anguillarum;0.00019;0;0;0;0;0;0;0;0;0;0
Burkholderia ubonensis;0.00129;0.0012;0.00105;0.00099;0.00094;0.00086;0.00085;0.00082;0.00058;0.00053;0.00052
Desulfurispirillum indicum;0;0;0;0;0;0;0;0.00022;0;0;0
Rhizobium daejeonense;0;0;0;0.00005;0;0;0;0.0001;0;0;0
Bacteroides cellulosilyticus;0.00003;0.00003;0.00006;0.00003;0;0;0.00024;0.00034;0;0;0
Caldicellulosiruptor hydrothermalis;0;0;0;0;0;0;0;0.00016;0;0;0
Lysobacter gummosus;0;0;0.00004;0;0;0;0;0;0.00004;0;0
Mycoplasma anatis;0.00023;0;0.00022;0;0;0;0.00023;0;0.00045;0;0.00045
Nocardioides baekrokdamisoli;0;0;0;0;0;0;0.00007;0;0;0;0
Micromonospora terminaliae;0;0;0;0;0;0;0;0.00003;0;0;0
Sulfurospirillum halorespirans;0;0;0;0;0;0;0;0.00007;0;0.00007;0
Thioalkalivibrio paradoxus;0;0;0.00006;0;0;0;0;0.00006;0;0;0
Brenneria nigrifluens;0;0;0;0;0;0;0;0.00009;0;0;0
Corynebacterium pelargi;0;0;0;0;0;0;0;0.00018;0;0;0
Corynebacterium ulcerans;0;0;0;0;0;0;0;0;0;0;0
Antarcticibacterium flavum;0;0;0;0;0;0;0.00005;0.0001;0;0;0
Borreliella bavariensis;0;0;0;0;0;0;0;0;0;0;0
Methanococcus maripaludis;0;0;0;0;0;0;0;0;0;0;0
Oceanithermus profundus;0;0;0;0;0;0.00009;0;0;0;0;0
Acidobacterium capsulatum;0;0;0.00005;0;0;0;0;0.00005;0;0;0
Sulfitobacter pseudonitzschiae;0.00006;0;0;0;0;0;0.00006;0;0.00006;0;0.00006
Hungateiclostridiaceae bacterium;0;0;0;0;0;0;0.00006;0.00023;0;0;0
Paenibacillus polymyxa;0;0;0;0;0;0;0;0;0;0;0
Pectobacterium brasiliense;0;0;0;0;0;0;0;0;0;0;0
Bordetella holmesii;0;0;0;0;0;0;0;0;0;0;0
Gordonibacter urolithinfaciens;0;0;0.00007;0;0;0;0;0;0;0;0
Corynebacterium segmentosum;0.00009;0;0;0;0;0;0;0;0;0;0
Sulfolobus tokodaii;0.00008;0;0;0;0;0;0;0;0;0;0
Ralstonia solanacearum;0.00012;0.00011;0.00011;0.00006;0.00006;0.00006;0;0;0;0;0
Luteitalea pratensis;0;0;0;0;0;0;0;0.00009;0;0;0
Enterocloster bolteae;0;0;0;0;0.00007;0.00003;0;0;0.00007;0;0.00003
Aeribacillus phage;0.02524;0.17055;0.13286;0.02928;0.17432;0.24927;0.17948;0.32029;0.08356;0.0291;0.07555
Bradyrhizobium diazoefficiens;0;0;0;0;0;0;0;0;0;0;0
1 MT;145.77652;101.68336;129.68727;168.09174;98.341;96.96994;124.21652;190.68651;92.66411;69.58316;67.82558
Moraxella catarrhalis;0;0;0;0;0;0;0;0;0;0;0
Spiroplasma melliferum;0;0;0.00016;0;0;0;0;0.00033;0;0;0
Methanococcus voltae;0;0;0;0.00011;0;0;0;0.00022;0.00011;0.00011;0
Rhodococcus jostii;0;0;0;0;0;0;0;0.00006;0;0;0
Staphylococcus simiae;0;0;0;0;0;0;0;0.00008;0;0;0
Paenibacillus barcinonensis;0;0;0;0.00003;0;0;0;0.0001;0;0.00003;0
Anaeromyxobacter dehalogenans;0;0;0;0;0;0;0;0;0;0;0
Burkholderia gladioli;0.16909;0.00027;0.00023;0.00015;0.00014;0.00014;0.00011;0.00009;0.00005;0;0
Streptococcus halotolerans;0;0;0.0001;0;0;0;0.0001;0.0006;0;0;0.0001
Natronomonas moolapensis;0;0;0;0;0;0;0;0.00015;0;0;0
Nostoc edaphicum;0;0;0;0;0;0;0;0.00017;0;0;0
Pantoea eucalypti;0;0;0;0;0;0;0;0.00016;0;0;0.00005
Echinicola strongylocentroti;0;0;0;0;0;0;0.00003;0.00024;0;0;0
Enterobacter sichuanensis;0;0;0.00005;0;0.00009;0.00005;0.00005;0;0;0;0
Enterococcus casseliflavus;0;0;0;0;0;0;0;0;0;0;0
Nocardia asteroides;0;0;0;0;0;0;0;0.00003;0;0;0
Liquorilactobacillus nagelii;0;0;0;0;0;0;0;0.00027;0;0;0
Mycobacterium marinum;0;0;0;0;0;0;0;0;0;0;0
Paenibacillus jilunlii;0;0;0;0;0;0;0;0.00006;0;0;0
Cellulomonas flavigena;0;0;0;0;0;0;0;0.00021;0;0;0
Halomonas elongata;0;0;0;0;0;0;0;0.00011;0;0;0
Geobacillus thermocatenulatus;0;0;0;0;0.00006;0;0;0;0;0;0
Shewanella maritima;0;0;0;0;0;0;0;0.00005;0;0;0
Geodermatophilus obscurus;0;0;0;0.00004;0;0;0;0;0;0;0
Methylosinus trichosporium;0;0;0;0.00005;0;0;0;0;0;0;0
Paenibacillus psychroresistens;0;0;0;0;0;0;0;0.00011;0;0;0
Streptomyces aureoverticillatus;0;0;0;0;0;0;0.00004;0.00005;0;0;0
Avibacterium paragallinarum;0;0;0;0;0;0;0;0;0;0;0
Campylobacter subantarcticus;0;0;0;0;0;0;0;0;0;0;0
Turicibacter sanguinis;0;0;0;0;0;0;0.00007;0.00058;0;0;0
Brevibacterium luteolum;0;0;0;0;0;0.00007;0.00014;0.00014;0;0;0.00014
Novosphingobium pentaromativorans;0;0;0;0;0;0;0;0.00011;0;0;0
Simplicispira suum;0;0;0;0;0;0;0.00005;0.00017;0;0;0
Carnobacterium maltaromaticum;0;0;0.00006;0;0;0;0;0;0.00006;0;0.00013
Mycolicibacterium chubuense;0;0;0;0;0;0;0;0;0.00004;0;0
Fusobacterium mortiferum;0;0;0;0;0;0;0.00016;0.00032;0;0;0.0008
Photobacterium gaetbulicola;0;0;0;0;0;0;0;0;0;0;0
Peptoniphilus ivorii;0;0;0.00027;0;0;0;0.00054;0;0;0;0
Megasphaera stantonii;0;0;0;0;0;0;0.00097;0.00016;0;0;0
Neisseria lactamica;0;0;0;0;0.0001;0.0001;0;0;0.00224;0.00058;0.00039
Flavobacterium sangjuense;0;0;0;0;0;0;0;0;0;0.00007;0
Jeotgalibaca ciconiae;0;0;0;0;0.00007;0;0.00037;0.00177;0;0.00007;0
Pyrobaculum aerophilum;0;0;0;0;0;0;0.0001;0;0;0;0
Bacillus pacificus;0.00008;0.00008;0;0;0;0;0;0.00004;0;0.00004;0
Sphingomonas panacis;0.00004;0;0;0;0;0;0;0.00009;0;0;0
Salinispira pacifica;0;0;0;0;0;0;0;0.00011;0;0;0
Spiroplasma diminutum;0;0;0;0;0;0;0;0.00046;0;0;0
Cupriavidus campinensis;0.00006;0;0;0;0;0;0;0;0;0;0
Pandoraea pulmonicola;0.00007;0;0;0;0;0;0;0.00007;0;0;0
Thermosipho africanus;0;0;0;0;0;0;0;0.00043;0;0;0
Serratia marcescens;0.00004;0;0;0;0;0;0;0;0;0;0
Empedobacter falsenii;0;0;0;0;0;0.00006;0.00017;0.00017;0;0;0
Desulfarculus baarsii;0;0;0;0;0;0;0;0.00018;0;0;0
Mycobacterium paraseoulense;0;0;0;0;0;0;0;0.00007;0;0;0
Providencia vermicola;0;0;0;0;0;0;0.00005;0.00041;0;0;0
Marinobacter psychrophilus;0;0;0;0;0;0.00005;0;0.00005;0;0;0
Haematospirillum jordaniae;0;0;0;0;0;0;0;0.0002;0;0;0
Staphylococcus condimenti;0;0;0;0;0;0;0;0;0;0;0
Delftia tsuruhatensis;0;0;0;0;0.00012;0.0001;0.00024;0.00016;0.00015;0.0001;0.00019
Ferroplasma acidarmanus;0;0;0;0;0;0;0;0.00011;0;0;0
Natranaerobius thermophilus;0;0;0;0;0;0;0;0.00014;0;0;0
Geobacillus stearothermophilus;0;0;0;0;0;0;0;0;0;0;0
Novosphingobium tardaugens;0;0;0;0;0;0.00005;0;0;0;0;0
Acinetobacter radioresistens;0;0;0;0;0;0;0;0;0;0;0
Acidithiobacillus caldus;0;0;0;0;0;0;0;0;0;0;0
Burkholderia cepacia;0.07036;0.03985;0.02723;0.01369;0.01363;0.0086;0.00711;0.00543;0.00494;0.00477;0.00475
Cupriavidus necator;0.00011;0;0;0;0;0;0;0;0;0;0
Bifidobacterium adolescentis;0;0;0;0;0;0;0;0;0;0;0
Desulfovibrio magneticus;0;0;0;0;0;0;0;0.00033;0;0;0
Herbaspirillum hiltneri;0;0;0;0;0;0;0;0.00018;0;0;0
Bifidobacterium actinocoloniiforme;0;0;0;0;0;0;0;0.00024;0;0;0
Listeria welshimeri;0;0;0;0;0;0;0;0;0;0;0.00015
Bacillus toyonensis;0.00009;0;0;0;0;0;0;0.00031;0.00004;0.00013;0
Flavobacterium album;0;0;0;0;0;0;0;0.00033;0;0;0
albicans SC5314;0.00084;0.00073;0.00046;0.00014;0.00014;0.00009;0;0;0;0.00021;0.00007
Alkalihalobacillus clausii;0;0;0;0;0;0;0;0;0;0;0.00005
Pseudoarcobacter acticola;0;0;0;0.00007;0;0;0.00007;0;0;0;0
Ketogulonicigenium vulgare;0;0;0;0;0;0;0;0;0;0;0
Bacillus albus;0.00004;0;0.00009;0;0;0;0;0;0;0;0
Pelodictyon phaeoclathratiforme;0;0;0;0;0;0;0;0.00007;0;0;0
Acinetobacter schindleri;0;0;0;0;0;0;0;0;0;0;0
Thermodesulfobacterium geofontis;0;0;0;0;0;0;0;0.00027;0;0;0
Prevotella jejuni;0.00025;0;0.00377;0.00351;0.00904;0.00652;0;0;0.01749;0.01179;0.00025
Microbacterium protaetiae;0;0.00006;0;0;0;0;0;0.00023;0;0;0
Lactobacillus oligofermentans;0.00012;0.00012;0.00036;0;0.00012;0.00036;0.00012;0.00048;0.00024;0;0.00012
Akkermansia muciniphila;0;0;0;0;0;0;0;0;0;0;0
Lactobacillus reuteri;0;0;0;0;0;0;0;0;0;0;0
Elizabethkingia bruuniana;0;0;0;0;0;0;0;0;0;0;0
Clostridium aceticum;0;0.00005;0;0;0;0;0;0.0001;0;0;0
Clostridium cochlearium;0;0;0;0;0;0;0;0.00036;0;0;0
Pasteurellaceae bacterium;0;0;0;0;0.00009;0;0;0;0;0;0
Abiotrophia defectiva;0;0.00021;0.00031;0;0.00052;0.00031;0.00011;0.09171;0;0;0
Bifidobacterium pseudolongum;0;0;0;0;0;0;0;0;0;0;0
Anaerostipes hadrus;0;0;0;0;0;0;0;0;0;0;0
parabailii strain;0.00066;0.00038;0.00034;0.00022;0.0002;0.00019;0.00018;0.00014;0.00012;0;0
Sedimenticola thiotaurini;0;0;0;0;0;0;0;0.00028;0;0;0
Prevotella ruminicola;0;0;0.00012;0;0.00012;0;0.00036;0.00144;0;0.00006;0
Thermoanaerosceptrum fracticalcis;0;0;0;0;0;0;0;0.00034;0;0;0.00006
Neobacillus mesonae;0;0;0;0;0;0;0;0.00037;0;0;0
Atlantibacter hermannii;0;0;0;0;0;0;0;0;0;0;0
Actinomyces viscosus;0;0.00006;0.00068;0;0.00086;0.00049;0.00413;0.00087;0;0;0
Pseudomonas amygdali;0;0;0;0;0;0;0;0;0;0;0
Olsenella timonensis;0;0;0;0;0;0;0.0001;0.0001;0;0;0
Weissella koreensis;0;0;0;0;0;0;0;0;0;0;0
Mycobacterium cookii;0;0;0;0;0;0;0;0.00008;0;0;0
Streptococcus mitis;0;0;0;0;0;0;0;0.00082;0.00057;0.00044;0.0003
Corynebacterium urealyticum;0;0;0;0;0;0;0;0;0;0;0
Sebaldella termitidis;0;0;0;0;0.0001;0;0;0.00015;0;0;0
Haemophilus haemolyticus;0;0;0;0;0.00012;0.00011;0;0;0.00222;0.00134;0.00129
Entomoplasma somnilux;0;0;0;0;0;0;0;0.0005;0;0;0
Streptococcus infantarius;0;0;0;0;0;0;0;0;0;0;0.00022
Fusobacterium necrophorum;0;0;0;0;0;0;0;0;0;0;0
Trueperella bialowiezensis;0;0;0;0;0;0.0001;0;0;0;0;0
Aggregatibacter actinomycetemcomitans;0;0;0;0;0;0;0;0;0;0;0
Ethanoligenens harbinense;0;0;0;0;0;0;0;0;0;0;0
Rhodothermus marinus;0.00007;0;0;0;0;0;0;0;0;0;0
Azospirillum brasilense;0;0;0;0;0;0;0;0;0;0;0
Flavobacterium haoranii;0;0;0;0;0;0;0;0.0003;0;0;0
Arcobacter lekithochrous;0;0;0;0;0;0;0;0.00024;0;0;0
Neokomagataea tanensis;0;0;0;0;0.00009;0;0;0.00018;0;0;0
Desulfosarcina alkanivorans;0;0;0;0;0.00003;0;0;0;0;0.00003;0.00003
Cedecea neteri;0;0;0;0;0;0;0;0;0;0;0
Paenibacillus xylanexedens;0;0;0;0;0;0;0.00003;0.00006;0;0;0
Kangiella geojedonensis;0;0;0.00009;0.00009;0;0;0;0.00026;0;0;0
Geobacter metallireducens;0;0;0;0;0;0;0;0.00011;0;0;0
Streptococcus agalactiae;0;0;0;0;0;0;0;0;0;0;0
Anaerolineaceae bacterium;0;0.00015;0.00007;0.00007;0.00015;0.00007;0.00007;0;0;0.00007;0
Alteromonas mediterranea;0;0;0;0;0;0;0;0;0;0;0
Actinoplanes teichomyceticus;0;0;0;0;0;0;0;0.00005;0;0;0
Heliorestis convoluta;0;0;0;0;0;0;0;0.00007;0;0;0
Rhizobium etli;0;0;0;0;0;0;0;0;0;0;0
Actinomyces slackii;0;0.00007;0;0;0.00013;0.0004;0.00013;0.0002;0;0;0.00007
Acidovorax carolinensis;0.00005;0;0;0;0;0;0;0;0;0;0
Bacillus cereus;0.00263;0.00252;0.00231;0.00228;0.00206;0.00196;0.00176;0.00144;0.00134;0.00108;0.00097
Pontibacter korlensis;0;0;0;0.00004;0;0;0.00004;0.00028;0;0;0
Allochromatium vinosum;0;0;0.00006;0;0;0;0;0;0;0;0
Arcobacter nitrofigilis;0;0;0;0;0;0;0;0.00014;0;0;0
Adlercreutzia equolifaciens;0;0;0;0;0;0;0;0.0003;0;0;0
Clostridium cellulovorans;0;0;0.00008;0;0;0;0.00004;0.00041;0;0;0
Dehalococcoides mccartyi;0;0;0;0;0;0;0;0;0;0;0
Nibricoccus aquaticus;0;0;0;0;0;0;0;0.00028;0;0;0
Streptomyces pactum;0;0;0;0;0.00003;0;0;0;0;0;0
Parolsenella catena;0;0;0;0;0;0;0.00012;0;0;0;0
Granulibacter bethesdensis;0;0;0;0;0;0;0;0;0;0;0
Halomicronema hongdechloris;0;0;0;0;0;0;0;0.00008;0;0;0
Stanieria cyanosphaera;0;0;0;0;0;0;0;0.00009;0;0;0
Paenibacillus lentus;0;0;0;0;0;0;0;0.00008;0;0;0
Lactococcus garvieae;0;0;0;0;0;0;0;0;0.00011;0;0
Rhizobium gallicum;0;0;0;0.00005;0;0;0;0;0;0;0
Actinomyces israelii;0;0;0.00017;0;0.00008;0.00058;0.00025;0;0;0;0
Guyparkeria halophila;0;0;0;0;0;0;0;0.00017;0;0;0
Desulfuromonas soudanensis;0;0;0;0;0;0;0;0.00022;0;0;0.00005
Runella slithyformis;0;0;0;0;0;0;0.00003;0.0001;0;0;0
Pseudoalteromonas spongiae;0.00007;0;0;0;0;0;0;0;0;0;0
Xanthomonas axonopodis;0;0;0;0;0.00004;0;0;0;0;0;0
Pandoraea apista;0.00008;0;0;0;0;0;0;0;0;0;0
 Polyangium;0;0;0.00003;0;0;0;0.00003;0.00007;0;0;0
Hungateiclostridium thermocellum;0;0;0;0;0;0;0;0;0;0;0
Actinosynnema pretiosum;0;0;0;0;0;0;0;0;0;0;0
Corynebacterium sphenisci;0;0;0;0;0.00008;0;0;0;0;0;0
Pseudomonas putida;0.0001;0.00008;0.00006;0.00004;0.00003;0;0;0;0;0;0
Desulfovibrio desulfuricans;0;0;0;0;0;0;0;0;0;0;0
Lactiplantibacillus plantarum;0.00014;0;0;0;0;0;0;0;0;0;0
Chryseobacterium gallinarum;0;0;0;0;0.00005;0;0;0;0;0;0
Bacillus siamensis;0;0;0;0;0;0;0;0.0001;0;0;0
Eikenella exigua;0;0;0.00033;0;0;0;0.00143;0;0;0.00033;0
Cronobacter universalis;0;0;0;0;0;0;0;0.00015;0;0;0
Pseudomonas fragi;0;0;0;0;0;0;0;0;0;0;0.00004
Fusobacterium varium;0;0;0;0;0;0;0.00005;0;0;0.00007;0
Enterobacteriaceae bacterium;0;0;0;0;0;0;0.00004;0.00004;0;0;0
Mesorhizobium opportunistum;0;0;0;0.00003;0;0;0;0.00013;0;0;0
Streptomyces gilvosporeus;0;0;0;0;0;0.00003;0;0.00005;0;0;0
Selenomonas ruminantium;0;0;0;0;0;0.00007;0;0;0;0;0
Paenarthrobacter ureafaciens;0;0;0;0;0;0;0;0.00014;0;0;0
Oceanisphaera avium;0;0;0;0;0;0;0;0.00015;0;0;0
Barnesiella viscericola;0;0;0;0;0;0;0.00007;0.00353;0;0;0
Azospirillum ramasamyi;0;0;0;0.00008;0;0;0;0.00008;0;0;0
Mucilaginibacter ginsenosidivorans;0;0;0;0;0;0;0;0.00049;0;0;0
Arcobacter aquimarinus;0;0;0;0;0;0;0.00009;0.00017;0;0;0
Piscirickettsia salmonis;0;0;0;0;0;0;0;0;0;0;0
Pectobacterium parmentieri;0;0;0;0;0;0;0;0;0;0;0
Achromobacter pestifer;0;0;0;0;0;0;0.00003;0.00003;0;0;0.00003
Thalassolituus oleivorans;0;0;0;0;0;0;0;0;0;0;0
Vibrio scophthalmi;0;0;0;0;0;0;0;0;0;0;0
Collimonas fungivorans;0;0;0;0;0;0;0;0;0;0;0
Arthrobacter citreus;0;0;0;0;0.00004;0;0.00004;0.00038;0;0;0
Alcanivorax pacificus;0;0;0.00005;0;0;0;0;0;0;0;0
Mycolicibacterium gadium;0;0;0;0;0;0;0;0.00018;0;0;0
Mycoplasma fermentans;0;0;0;0;0;0;0;0;0;0;0
Streptococcus parasanguinis;0;0;0.00269;0.00198;0.01373;0.01115;0;0;0.02407;0.02218;0.11349
Thermococcus paralvinellae;0;0;0;0;0.00011;0;0;0;0;0;0
Haloarcula marismortui;0;0;0;0;0;0;0;0;0;0;0
Ochrobactrum pituitosum;0;0;0;0;0;0;0;0;0;0;0
Dermatophilus congolensis;0;0;0;0;0;0;0;0.00017;0;0;0
Halioglobus japonicus;0;0;0;0.00011;0;0;0;0;0;0;0
Myxococcus hansupus;0;0;0;0;0;0;0;0.00005;0;0;0
Enterococcus saigonensis;0;0;0.00008;0;0.00008;0.00008;0.00024;0.00111;0;0;0
Sporosarcina psychrophila;0;0;0;0;0;0;0;0.00005;0;0;0
Neisseria shayeganii;0;0;0.00009;0;0;0;0;0;0;0;0
Aeromonas phage;0;0;0;0;0;0;0;0;0;0;0
